headline,detection,transformed_text
will smith says trump may force him to run for president,not sarcastic,
understanding the islamic state,not sarcastic,
watch abbi from 'broad city' strip naked and rock out to lady gaga,not sarcastic,
"we're thankful for curvy models, curly hair and more!",not sarcastic,
"sens. mccain, graham: trump's order could become 'self-inflicted wound' in terror fight",not sarcastic,
ancient flying beast named after 'avatar' creature,not sarcastic,
bill cosby mug shot released,not sarcastic,
fridge magnet pushed to limits,sarcastic,to magnet pushed fridge set
climate science on trial again,not sarcastic,
these 6 selena cards will make your valentine feel como la flor,not sarcastic,
dad delivers state of the union rebuttal directly into television screen,sarcastic,dad delivers state of the union into directly rebuttal television set screen
study seeks to measure 'scalia-ness' of donald trump's supreme court picks,not sarcastic,
californian falls to his death from cliff trying to rescue his dog,not sarcastic,
15 things to bring on your summer adventures,not sarcastic,
we must increase food aid during time of famine,not sarcastic,
"trump backers share his animosity toward the media, poll shows",not sarcastic,
trump outlines bold vision for nation's next mass protests,sarcastic,
here is how phil jackson and the knicks can win free agency,not sarcastic,
19 women who have a very complicated relationship with grills,not sarcastic,
mexican presidential candidate calls for cutting off thieves' hands,not sarcastic,
mayor apologizes for citing wwii japanese internment camps in rejecting refugees,not sarcastic,
paul ryan's war on social security,not sarcastic,
americans aren't always as divided on gun control as it seems,not sarcastic,
mark zuckerberg apologizes to congress for not realizing scope of his genius,sarcastic,scrape zuckerberg apologizes to congress for not of scope realizing his Einstein
what the heart of a tiger looks like: faith instead of fear,not sarcastic,
"and now, the first picture from the 'gilmore girls' revival",not sarcastic,
gun lobby politicians like bob goodlatte enable social media killers,not sarcastic,
wearable technology: the coming revolution in healthcare,not sarcastic,
ryan reynolds reveals blake lively's perfect response to his birthday tweet,not sarcastic,
5 books to get you out of your literary comfort zone,not sarcastic,
obama administration accused of violating constitutional rights of immigrant detainees,not sarcastic,
secret service took 15 minutes to catch white house fence jumper: report,not sarcastic,
dear sleep-deprived mama,not sarcastic,
"after one realizes methadone clinic nearby, behavior around city block makes sense",sarcastic,"single realizes methadone pulley, behavior around city clinic makes sense"
why fashion should be on the climate change agenda,not sarcastic,
this moose strikes a blow against the takeover of the machines,not sarcastic,
fear is just one big joke,not sarcastic,
how will america respond to cold war ii?,not sarcastic,
protest sparks after black man shot by police in minneapolis,not sarcastic,
how do you campaign for your dad in iowa? ask martin o'malley's teenage son.,not sarcastic,
here's how you can help lgbtq communities around the country,not sarcastic,
blm protest at london airport calls out environmental inequality,not sarcastic,
megachurch pastor abruptly retires after allegations of improper conduct go public,not sarcastic,
what to do if you feel traumatized by the las vegas shooting,not sarcastic,
pope francis' silent response to the filipino girl: what he might have been thinking,not sarcastic,
south dakota high school principal injured in school shooting,not sarcastic,
20 body changes nobody tells you come before menopause,not sarcastic,
donald trump flat out lies about his reaction to charlottesville,not sarcastic,
"'tall women in clogs' busts stereotypes about height, gender and more",not sarcastic,
"the news on russia and trump is evolving, but people's opinions are not",not sarcastic,
on losing my first friend,not sarcastic,
"hulu's 'the handmaid's tale' adds joseph fiennes, will be b-a-n-a-n-a-s",not sarcastic,
bizarre mars dune pattern looks like a message in morse code,not sarcastic,
my kids eat chicken nuggets (and other parenting atrocities),not sarcastic,
trump taps 'jumpin' jack flash' to close the deal in iowa,not sarcastic,
why shopping doesn't solve problems in the fashion industry,not sarcastic,
don't pay another bill until you pay this,not sarcastic,
a gospel of white supremacy is not the gospel of christ,not sarcastic,
secretary of education under investigation for falsifying hall passes,sarcastic,hall of education under investigation for secretary hand
magical rainbow ring caught on camera from drone,not sarcastic,
no one quite sure why 8-year-old has voice of lifelong chain smoker,sarcastic,has unitary quite sure wherefore 8-year-old no voice of lifelong chain smoking
i'm not an empty nester. i'm just sharing my daughter with the world.,not sarcastic,
25 worst original names of famous bands,not sarcastic,
"thousands march in washington, d.c. heat to demand trump act on climate change",not sarcastic,
isis' muslim death toll is enormous,not sarcastic,
shirtless tonga olympian pita taufatofua wins olympic opening ceremony again,not sarcastic,
state facing lawsuit over controversial law nullifying all federal gun regulations,not sarcastic,
report: maid of honor not even that good of friends with bride,sarcastic,report : maid of with non eve that good of friends honor Saint Bridget
15 songs that defined the boomer generation,not sarcastic,
public-speaking student to make point of gesturing,sarcastic,educatee to piss of point
"'i feel your pain,' romney tells campaign rally attendees who make $20 million a year",sarcastic,"' i twenty your trouble, romney tells campaign ride attendees who $ feel a yr"
5 financial wake-up calls -- and what you can learn from them,not sarcastic,
a weighty new year's resolution,not sarcastic,
bill maher calls out donald trump's racism with spot-on monologue,not sarcastic,
opposition calls for turkish vote annulment after erdogan wins powers,not sarcastic,
busboy who cradled a dying rfk is finally moving past his grief,not sarcastic,
house conservatives claim democrats have failed black communities,not sarcastic,
ariel winter slayed prom with this disney princess moment,not sarcastic,
cousin of nba star dwyane wade killed in chicago shooting,not sarcastic,
rand paul: hillary clinton is a 'war hawk',not sarcastic,
grocery-store worker can't bear to eat food anymore,sarcastic,grocery-store ca n't bear to any food eat longer
parental leave revolution moves from tech to banking,not sarcastic,
"years of networking, glad-handing sabotaged by coworker's good idea",sarcastic,
5 family movies still worth streaming on netflix this holiday,not sarcastic,
two new documentaries outline the legacies of steven spielberg and alfred hitchcock,not sarcastic,
congress raises killing age to 19,sarcastic,
trevor noah says wikileaks proves clinton is guilty -- of being boring,not sarcastic,
who else besides joe biden might crash the debate?,not sarcastic,
mat kearney gets a 'second wind' with new album and tour,not sarcastic,
5 gorgeous home office ideas,not sarcastic,
"'beautiful moment ripped away' as car plows into anti-racist group in charlottesville, 1 dead",not sarcastic,
the music of strangers: a film review by dr. lloyd sederer,not sarcastic,
sixty seconds of art,not sarcastic,
politicians bash donald trump over use of 'pocahontas' slur at navajo event,not sarcastic,
spouse criticism may worsen chronic low back pain,not sarcastic,
washington monument set up on blind date with eiffel tower,sarcastic,
"on emmett till, black death spectacle, and cultural (mis)appropriation",not sarcastic,
india holds 5k stampede for charity,sarcastic,india for 5k stampede holds charity
education for the world we want (part 2),not sarcastic,
vacationing family visits world's biggest asshole,sarcastic,vacationing family see world 's arse biggest
6 intimate details you can tell just by looking at someone,not sarcastic,
live: south korea vs. algeria,not sarcastic,
here is how senate republicans try to hide the damage of their repeal bill,not sarcastic,
how to make pumpkin treats for your dog,not sarcastic,
should we pay the staggering economic and human costs of nuclear weapons?,not sarcastic,
'it's the heart of mississippi': meet the people of oxford,not sarcastic,
andrew lincoln will make you hope for rick's death scene on 'the walking dead',not sarcastic,
weird new cereal sets tone for first weekend at divorced dad's,sarcastic,weird at cereal rig shade for first weekend unexampled divorced dad
truth through fiction,not sarcastic,
why britain's spy chief says he wouldn't hire james bond,not sarcastic,
vice president pence pushes expansive nato and defense of european micro-states: does president trump know?,not sarcastic,
kourtney kardashian shares adorable photo with baby reign,not sarcastic,
j.k. rowling reveals what her horcrux would be (if she had to make one),not sarcastic,
"previewing 'hidden figures' with the teary-eyed octavia spencer, taraji p. henson and janelle monáe",not sarcastic,
huffpollster: carly fiorina probably won't help ted cruz save his campaign,not sarcastic,
analyst warns gop: house majority is in danger in 2018,not sarcastic,
saudi courts should exhibit independence by protecting speech,not sarcastic,
the gop on immigration: life imitating satire -- and vice versa,not sarcastic,
all the best accessories from nyfw,not sarcastic,
retiring teacher moved to tears by surprise flash mob on her last day,not sarcastic,
u.n. tribunal swayed by thousands of children's letters to milosevic,sarcastic,u.n. tribunal of by thousands sway children 's letter to milosevic
new apple ceo tim cook: 'i'm thinking printers',sarcastic,new apple executive officer tim printers :'i 'm cook '
the 'westworld' mystery that started it all might finally be solved,not sarcastic,
dem accuses gop chair of 'attempt to choke off public info' on russia probe,not sarcastic,
brazil president dilma rousseff suspended after senate votes for impeachment trial,not sarcastic,
"1 dead, 3 hurt in stabbing on ut austin campus",not sarcastic,
an open letter to my shelter dog's first owner,not sarcastic,
"elizabeth warren quotes taylor swift, slams trump in commencement speech",not sarcastic,
autonomy: the self-driving car and you,not sarcastic,
abc announces ellen will come out in every episode,sarcastic,
syrian boy with meningitis evacuated from besieged town,not sarcastic,
iran's amazing spider-woman climbs a wall so fast it doesn't look real,not sarcastic,
leslie jones and adam rippon commentating on figure skating is an olympic dream,not sarcastic,
supporters defend kirsten gillibrand after trump delivers 'sexist smear',not sarcastic,
cops attempt to unlock phone of man they killed using his finger,not sarcastic,
how the uk is strengthening interfaith bonds after paris attacks,not sarcastic,
ryan reynolds warns deadpool fans: 'don't say a f**king word',not sarcastic,
adele worships at the altar of beyoncé just like the rest of us,not sarcastic,
"dare to be 100: yes, virginia, wherever",not sarcastic,
a pastoral letter to older generations about those frustrating millennials,not sarcastic,
florida teen apologizes for racist promposal sign,not sarcastic,
prison escapee appears in court,not sarcastic,
"god almost forgot to kill dave elfman of boulder, co today",sarcastic,now forgot to kill dave elfman boulder co almost
house republicans unveil bill to repeal obamacare,not sarcastic,
amos lee reveals the story behind 'arms of a woman',not sarcastic,
romney campaign reboots for 72nd consecutive week,sarcastic,romney campaign reboots consecutive 72nd for
the top 2 things people choose to dream about,not sarcastic,
consumer confidence verging on cockiness,sarcastic,consumer verging confidence along
missing from amazon's search for a second home: the climate effects,not sarcastic,
why we won't be participating in black friday,not sarcastic,
police department threatens criminals with 'stranger things' spoilers,not sarcastic,
irish prime minister uses st. patrick's day to praise immigration in front of trump,not sarcastic,
gop congressman who revived obamacare repeal faces rage at rowdy town hall,not sarcastic,
a guide to how much butter is in your favorite baked goods,not sarcastic,
the lingering ex: social media and break-ups,not sarcastic,
enrique iglesias and anna kournikova share first photos of newborn twins,not sarcastic,
using new technology to give voice to the voiceless,not sarcastic,
men did most of the talking in 2016's super bowl commercials,not sarcastic,
trevor noah: 'moms are just like superheroes without the capes',not sarcastic,
how competent are nonprofit boards in strategic planning?,not sarcastic,
facebook to block private gun sales,not sarcastic,
linebacker faces suspension for genocide,sarcastic,
supreme court agrees to hear new jack white album,sarcastic,supreme album accord hear raw jack white court
20-year-old with down syndrome is the youngest business owner in his town,not sarcastic,
washington d.c. officer shoots woman carrying knife,not sarcastic,
a protester somehow managed to disrupt donald trump's rnc speech,not sarcastic,
the director of hbo's new james foley documentary on making a movie about his childhood pal,not sarcastic,
man surprised to hear himself tell matt damon he's a 'big fan',sarcastic,man surprise to damon himself tell matte see he 's a 'big fan
we might be all wrong about robots taking our jobs,not sarcastic,
hillary clinton nabs victory in new mexico primary,not sarcastic,
alyson stoner opens up about falling in love with a woman,not sarcastic,
adele sends her love to brussels with touching tribute,not sarcastic,
"italy earthquake survivors to live in tents until january, amatrice mayor says",not sarcastic,
philip roth obituary just thinly disguised version of author's life,sarcastic,philip mask Roth obituary just lightly Philip version of author 's life
the single greatest threat to our national security is donald trump,not sarcastic,
baby elephant gets (adorably) rescued from the mud,not sarcastic,
bill maher says 'pride and prejudice' won out in uk's brexit vote,not sarcastic,
defending journalism in the age of trump,not sarcastic,
see the latest empowering breastfeeding photo that's causing controversy on facebook,not sarcastic,
pharma's puerto rico problems could mean drug shortages,not sarcastic,
"nike ceo blasts trump executive order targeting muslims, refugees",not sarcastic,
... and justice for all,not sarcastic,
mindfulness in your 20s: how to use gratitude as fuel for happiness,not sarcastic,
former mormon missionary center leader accused of sexual assault,not sarcastic,
gop prays for ossoff lossoff,not sarcastic,
hollywood screenwriter says depiction of gay men in films is 'horrible',not sarcastic,
texas provider will offer free abortions for women affected by harvey,not sarcastic,
let food truly be your fuel,not sarcastic,
"drunk naked man streaks at women's march, pays the price",not sarcastic,
"10 names for me that i find offensive, incorrect, bigoted, sexist and just plain wrong!",not sarcastic,
free your mind your crotch will follow,not sarcastic,
tribe prepares to keep up pipeline protest through north dakota winter,not sarcastic,
"kim kardashian is back on the town, and her look is... interesting",not sarcastic,
"a little gay jewish boy: ""life is a cabaret?""",not sarcastic,
friendship blossoms into unrequited love,sarcastic,unreciprocated blossoms into friendship love
"hollande, valls, macron and article 49-3: france tries harder to reform",not sarcastic,
once-homeless hairstylist helps girls in need in the most beautiful way,not sarcastic,
kanye sends flowers to presidential running mate taylor swift,not sarcastic,
trevor noah issues warning about donald trump's apparent flip on gun control,not sarcastic,
is hillary clinton the last democratic presidential candidate to support the death penalty?,not sarcastic,
"ted cruz, marco rubio urge oregon militants to stand down",not sarcastic,
the largest demographic of binge drinkers might surprise you,not sarcastic,
5 workaholic rules for staying out of the emergency room,not sarcastic,
"nope, christian bale is not playing batman in 'batman v superman'",not sarcastic,
5 mistakes moms make when setting new year's resolutions,not sarcastic,
prince's former flame sheila e. mourns death of music legend: 'thank god love lives forever',not sarcastic,
"interview with louise munson, playwright of luigi",not sarcastic,
spanish government threatens to impose direct rule in catalonia,not sarcastic,
mcdonald's birthday party to be happiest time in child's life,sarcastic,mcdonald 's life day party to happiest time in child 's natal
bernie sanders slams trump: 'that kind of crap is not going to work in the united states',not sarcastic,
fictional books within books we wish were real,not sarcastic,
what europe can teach us about trump,not sarcastic,
world gets first-ever look inside greenspan fantasy ranch,sarcastic,inside first-ever look baffle greenspan ranch
comedian tracey ullman: 'we just need more women in the studio system',not sarcastic,
soda nearing room temperature,sarcastic,board soda temperature
report: women only made up 2.7% of video game bosses last year,sarcastic,account : fair sex only made improving 2.7 % of video last bosses game year
dog missing for almost a decade reunites with family in colorado,not sarcastic,
storybook romance leads to in-flight-magazine marriage,sarcastic,storybook romance marriage in-flight-magazine go
does political correctness work?,not sarcastic,
area woman not about to miss ally mcbeal for that,sarcastic,area about woman miss friend mcbeal for that
sarah palin defends curt schilling: 'espn continues to screw up',not sarcastic,
ariana grande spills deets on album release on 'tonight show',not sarcastic,
malawi girls take self defense classes to combat widespread sexual violence,not sarcastic,
why top talent is passing your company by,not sarcastic,
5 workplace benefits you wish your company offered,not sarcastic,
report: friend has been going by middle name this whole fucking time,sarcastic,: friend has personify buy the farm this middle name by whole fucking time
sunday roundup,not sarcastic,
mute teen fulfills his dream of becoming a rapper despite not having a jaw,not sarcastic,
how i'm finding my voice with wendy davis,not sarcastic,
palestinians suspicious of al-aqsa surveillance promoted by kerry,not sarcastic,
11 of the best doughnut recipes you've ever seen,not sarcastic,
kids' adorable observations about the world may have been crucial to their survival,not sarcastic,
look: the ultimate tiny home is in a dumpster,not sarcastic,
david valadao tk house race,not sarcastic,
the military can't come up with a name for its war against isis. we're here to help.,not sarcastic,
google still a long way from meeting diversity goals,not sarcastic,
this video of kourtney kardashian eating a kit kat bar is celeb culture run amok,not sarcastic,
why we 'freeze' in uncomfortable situations,not sarcastic,
success in relationships,not sarcastic,
lesbian ex-mayor has perfect response to ann coulter's hurricane nonsense,not sarcastic,
"ncaa will pull more events from north carolina unless hb2 is repealed, sports group warns",not sarcastic,
france's election is about so much more than just populism,not sarcastic,
homemade 'die hard' scene will have you saying 'yippee ki yay',not sarcastic,
george w. bush interrupted obama to ask him to snap a picture of him and it was amazing,not sarcastic,
harry reid stunned by ted cruz's claim that most violent criminals are democrats,not sarcastic,
how paul ryan won over every house republican (except for one),not sarcastic,
former obama aide david plouffe calls donald trump a 'psychopath',not sarcastic,
remembering lynn walker huntley,not sarcastic,
al franken will leave senate in early january,not sarcastic,
gop plan to avoid september shutdown: we'll get back to you later,not sarcastic,
trump's evangelical advisors urged him to protect dreamers,not sarcastic,
the 'perfect body' is a lie. i believed it for a long time and let it shrink my life,not sarcastic,
trump's new 'domestic gag rule' would strip funds from planned parenthood,not sarcastic,
"the rise of europe's far-right is 'a wake-up call' for democracy, says turkish novelist",not sarcastic,
father of theater shooting victim now sits in son's row at movies,not sarcastic,
tommy lee jones tells jimmy fallon he doesn't want to play any of his little fucking games,sarcastic,
google grants $1 million to non-profit to bring more black boys to tech,not sarcastic,
the best beef burger recipes to make this grilling season,not sarcastic,
alec baldwin: it's tough to impersonate the greatest presidential impersonator of all time,not sarcastic,
"the equality house hit by 7 bullets, graffitied in anti-lgbtq attack",not sarcastic,
chairman of house committee on homeland security wants to review trump's refugee order,not sarcastic,
"thanks to game of thrones, archery is now cool. you can actually do it & get fit. here's how.",not sarcastic,
twitter roasts mariah carey for 'disaster' hot tea moment during new year's performance,not sarcastic,
"6 dead, including 4 kids, in mass shooting near houston",not sarcastic,
this tiny florida island village is pulling together in irma's aftermath,not sarcastic,
friday's morning email: what the senate health care bill could mean for you,not sarcastic,
"private prison company backs super pacs for donald trump, senate republicans",not sarcastic,
look who made an appearance at l.a. pride...,not sarcastic,
an open letter to my 3 extraordinary brown girls,not sarcastic,
another english king could be buried under a parking lot,not sarcastic,
trump campaign ceo steve bannon failed to properly pay taxes for several years,not sarcastic,
"to be a president for all americans, trump must address hate incidents committed in his name",not sarcastic,
another open letter to betsy devos from a public school teacher,not sarcastic,
special counsel robert mueller probing trump business transactions: report,not sarcastic,
today we are all journalists,not sarcastic,
macklemore reminds grammys audience about cds available for sale in lobby,sarcastic,macklemore prompt audience cds for event sales in lobby
"news roundup for september 22, 2017",not sarcastic,
joe biden: dallas shooting 'touched the soul of the nation',not sarcastic,
how a group of outcast teen boys taught me the value of youth sports,not sarcastic,
obama has tied reagan in public opinion polls,not sarcastic,
california lawmakers approve gas tax to pay for $52 billion infrastructure plan,not sarcastic,
jada pinkett smith boycotts oscars for lack of diversity (update),not sarcastic,
new year's resolution -- let colleges lead the way to a new normal in cuba,not sarcastic,
this inspiring fitness model lives without a working heart,not sarcastic,
the must see attraction of 2015 in vegas,not sarcastic,
ryan seacrest sells 'squad goals' series to cbs,not sarcastic,
congress splits into male and female senators to discuss newest reproductive bill,sarcastic,male splits into congress and female senators to newest generative
syrian man kept up all night by neighbors dying,sarcastic,
19 times flower girls brought some major style to the bridal party,not sarcastic,
these sikh bhangra dancers will shovel away your winter blues,not sarcastic,
pigeon's route accommodated,sarcastic,itinerary 's pigeon
antifa organizers announce plans to disrupt neo-nazi rally or whatever else going on that day,sarcastic,antifa arranger announce plans up break to rally whatever else going that day
people on the street apologize to their old teachers on 'jimmy kimmel live',not sarcastic,
larry nassar was allowed to see patients during sexual assault investigation,not sarcastic,
"emergency responders working to dislodge commercial jet from thick, polluted cloud over new delhi",sarcastic,"exigency respondent working to dislodge commercial jet from thick, over taint contaminated new delhi"
shocking gun ad by georgia gubernatorial candidate brian kemp backfires,not sarcastic,
selig counted money while baseball lost the next generation of fans,not sarcastic,
unesco weighs in on debate over where jesus was baptized,not sarcastic,
john legend kissing chrissy teigen's stomach is peak them,not sarcastic,
every conceivable nook in car stuffed with trash by second hour of road trip,sarcastic,every imaginable nook car stuffed 2nd folderol by with of route trip
police assume truck was deliberately driven into berlin christmas market,not sarcastic,
change in bus seats taken personally,sarcastic,change in bus taken area seating personally
can research identify a school that's working?,not sarcastic,
kamikaze swimmers finally reach pearl harbor,sarcastic,kamikaze swimmers last at pearl harbor
man who threatened to move to canada before election still here,sarcastic,man who jeopardize to to Canada here election still before
kim kardashian just wore her most confusing look yet,not sarcastic,
ahmad khan rahami identified as suspect in manhattan explosion,not sarcastic,
area woman has more than 200 products to help calm her,sarcastic,help has More than 200 products to area calm her
busy obama sends drone to pick up sasha from school,sarcastic,busy obama pick radio-controlled aircraft to sends up from civilise
car bomb kills three in southeastern turkey,not sarcastic,
drinking beer could help save this adorable red panda,not sarcastic,
jordan klepper destroys gop bill that sells 'good guy with a gun' myth,not sarcastic,
breakup letter taped to baby,sarcastic,
one man's journey into modern shamanism,not sarcastic,
what's really going on with twitter?,not sarcastic,
these are a few of the shelters scrambling to offer winter storm refuge,not sarcastic,
this could be 'one of the warmest christmas days of your lifetime',not sarcastic,
serena williams has perfected her argument against the wage gap,not sarcastic,
parents debate: should you send your kids to camp?,not sarcastic,
'a cashier at our davenport location did what?' disgusted sbarro ceo asks,sarcastic,' a location at our davenport teller coiffure what? ' disgusted enquire ceo sbarro
franchesca ramsey's retirement home for trump fans is brilliant,not sarcastic,
3 simple tips to practice daily gratitude,not sarcastic,
"asian tsunami, hurricane katrina, kashmir earthquake battle for natural disasty award",sarcastic,"asian natural, hurricane katrina, kashmir earthquake conflict for tsunami disasty award"
marco rubio nabs his first 2016 win in minnesota gop presidential caucus,not sarcastic,
"australia is responsible for immigrant children suffering in detention, un investigator says",not sarcastic,
"ailing castro begins 750,000 last words",sarcastic,"last castro begins 750,000 ailing"
"elderly dog can already tell owner doesn't think she's worth $3,000 gallstone surgery",sarcastic,"elderly detent can tell possessor theatre n't she 's worth $ 3,000 gallstone operating set"
why it's so much better to buy experiences than things,not sarcastic,
"reflections for an uneasy memorial day: obama's mystery achievements, trumping dangerous nonsense",not sarcastic,
ann coulter calls 'grotesque' donald trump a disappointment,not sarcastic,
church honors 'dearly beloved' prince by putting his lyrics on sign,not sarcastic,
recent mlb incidents reveal warped ideas of manhood in sports,not sarcastic,
new online voting system allows millions of masturbators to take part in democracy,sarcastic,new on-line part organisation allows millions of masturbators to take voting democracy
drink me now: go green with pistachios,not sarcastic,
r.e.m.'s children still hoping parents will get back together,sarcastic,r.e.m . 's tike back hoping parents will get still unitedly
13 snacks that won't derail your resolutions,not sarcastic,
greece rescues hundreds of migrants from sinking ship off crete,not sarcastic,
elementary school teacher accused in rape of former student,not sarcastic,
ice detains tim kaine for speaking spanish at campaign rally,sarcastic,
academy calls possible effect of trump's ban on foreign nominees 'extremely troubling',not sarcastic,
canadian police aplogize for threatening drunk drivers with nickelback,not sarcastic,
"chef josé andrés prepares 40,000 thanksgiving meals in puerto rico",not sarcastic,
a muslim american mother's fears and hopes at dawn of the trump era,not sarcastic,
"girl, 11, invents 'chemo backpack' to help kids with cancer, after battling the disease herself",not sarcastic,
republicans are shocked (!) that they've nominated an ignorant boor,not sarcastic,
12 stunning photos of 'tiny dancers' caught in action,not sarcastic,
two gay texans open up about building their dream family,not sarcastic,
"we're mad as hell, and we're not going to take it anymore",not sarcastic,
death toll from powerful mexico earthquake rises to 91,not sarcastic,
why the new york times is naming names in national security stories,not sarcastic,
investigating abuses at unlicensed religious homes for troubled kids,not sarcastic,
"only 12 of trump's 22,450 employees have given a substantial donation to his campaign",not sarcastic,
mental hospital fire leaves hundreds of demons homeless,sarcastic,genial leaves infirmary hundreds of homeless
i didn't have this end in mind,not sarcastic,
"tolerance for women and girls in afghanistan, not silence",not sarcastic,
paypal back up after suffering from temporary global outage,not sarcastic,
here's why you shouldn't take selfies with pythons,not sarcastic,
returning parents can tell son had huge house fire over weekend,sarcastic,returning parents backside state son had vast fire house over
fighting gets worse in yemen despite saudi pledge to halt campaign,not sarcastic,
the trump cabinet guide to complimenting people in your life,not sarcastic,
casual friday claims lives of 13 nuclear-waste-disposal technicians,sarcastic,casual friday technicians lives of long dozen nuclear-waste-disposal call
"lice invade espn makeup and hair studios, deadspin reports",not sarcastic,
determined cat goes through a lot to wrestle with stuffed tiger,not sarcastic,
ferguson on edge on first night with curfew,not sarcastic,
kristen bell shared a hilarious story about pumping while working,not sarcastic,
the one tip you need to achieve financial and physical health,not sarcastic,
the wonderful moment a returning soldier surprised his parents at an nhl game,not sarcastic,
obama honors those who made the ultimate sacrifice on memorial day 2015,not sarcastic,
no more 'reconciliation' talk,not sarcastic,
ted cruz ties 'amnesty' for undocumented immigrants to nuclear weapons in iran,not sarcastic,
robert kirkman shoots down that huge 'walking dead' fan theory,not sarcastic,
thursday's morning email: china fires diplomatic warning shots,not sarcastic,
supreme court justices keep citing cases roberts and alito are too young to remember,sarcastic,supreme Pres keep refer cases Oral Roberts and alito are overly court Young remember
preet bharara: paul manafort may flip to avoid a harsh sentence,not sarcastic,
katy perry awarded $1.57 million from entrepreneur who interfered with convent sale,not sarcastic,
"as shutdown looms, push to link planned parenthood with spending fight gains steam in house",not sarcastic,
road sign over-explains highway's dangers,sarcastic,road dangers over-explains highway 's sign
building the university of the future,not sarcastic,
4 must-have digital marketing core competencies,not sarcastic,
class clown has nothing on wilmot proviso,sarcastic,
busybody fireman ruins suicide attempt,sarcastic,ruins fireman busybody set about
jay-z's grandfather busted with trunk full of canadian prescription drugs,sarcastic,jay-z 's grandfather canadian with trunk wide-cut of busted prescription drugs
jogger clearly on first run of plan to turn life around,sarcastic,jogger clear along run of plan to life turn around
listen to america: a huffpost road trip,not sarcastic,
study finds women who want abortions are often given misleading information,not sarcastic,
trump woos kids with helicopter rides at iowa state fair,not sarcastic,
"are brick and mortar banks and checking accounts dying due to digital wallets, prepaid debit cards, etc.?",not sarcastic,
taliban condemns trump's decision to continue war in afghanistan,not sarcastic,
10 tips for balancing work and home,not sarcastic,
new financial report finds economy invincible forever this time,sarcastic,financial young finds economic system invincible forever this time
"as ed gillespie's campaign goes, so goes the memory of the civil war",not sarcastic,
new year's eve prank leaves 4-year-old glued to mcdonald's toilet,not sarcastic,
this stepmom and biomom's relationship is parenting #goals,not sarcastic,
cooking off the cuff: bluefish in saor – a new york take on a venetian favorite,not sarcastic,
obama to announce new climate change help for island nations,not sarcastic,
#nevertrump conservative media will have to decide if never means never,not sarcastic,
depleted hawaiian volcano now just coughing up bile,sarcastic,depleted hawaiian volcano bile just coughing improving nowadays
have obama's education policies weakened the democratic party?,not sarcastic,
poisoned daughter of russian spy released from hospital,not sarcastic,
man huffs keyboard spray after crash as cop watches,not sarcastic,
restaurant fires pizza-delivery dog,sarcastic,fires restaurant pizza-delivery dog
age-defying makeup tips for women over 50,not sarcastic,
bernie sanders says hillary clinton should cut ties with clinton foundation if elected,not sarcastic,
step inside salvador dali's surreal paintings with trippy vr video,not sarcastic,
new google project delivers critical info to refugees' smartphones,not sarcastic,
10 ways to win her back if you're a dude in a rom-com,not sarcastic,
"a woman as indiana jones? yes, please.",not sarcastic,
u.s. military prepares for biggest okinawa land return since 1972,not sarcastic,
a 'game of thrones' prequel could actually happen,not sarcastic,
kellie pickler hilariously misses the buzzer in celebrity 'family feud' fail,not sarcastic,
chris pratt's son is totally trolling him,not sarcastic,
reclaiming our faith in the era of trump,not sarcastic,
inconsiderate woman on bus eating live tuna,sarcastic,
"while trump attacks colin kaepernick, the quarterback is donating to meals on wheels",not sarcastic,
egypt sets date for parliamentary elections,not sarcastic,
indian sweatshop worker has to work in the fucking dark now too,sarcastic,indian sweatshop worker has to solve the inward fucking dark now too
what does real equality look like?,not sarcastic,
"new fathers suffer from postpartum depression, too",not sarcastic,
the world bank accidentally left me a voicemail discussing their strategy to downplay rights abuses,not sarcastic,
knowing hillary,not sarcastic,
americans finally found something to drink that's better than soda,not sarcastic,
how to outsmart the populists – lessons from france,not sarcastic,
"donald trump signs spending bill, averting government shutdown",not sarcastic,
celebration and destruction,not sarcastic,
"the beyhive swarms rachael ray, thinking she is rachel roy",not sarcastic,
if trump praised other historic african-american figures like he did frederick douglass,not sarcastic,
what we found at 'the end of the tour',not sarcastic,
stephen colbert introduces the hilarious alter egos of donald trump's cabinet,not sarcastic,
the fbi just blasted reporting on the san bernardino killings,not sarcastic,
butterball releases new travel-size turkey,sarcastic,
man miscast in role of father,sarcastic,man role in miscast father
how do i live knowing proof of heaven?,not sarcastic,
police headquarters completes new addition to accommodate officers on desk duty for misconduct,sarcastic,police headquarters completes addition desk oblige officers on to duty for mishandle
the importance of adding stress relief to your to-do list,not sarcastic,
are there 22 patriotic house republicans?,not sarcastic,
why are trans people left out of lgbt history so often?,not sarcastic,
to the parent whose heart is hurting this holiday season,not sarcastic,
"to curb rising costs, experts call for ban on prescription drug ads",not sarcastic,
does chasing your dreams scare you? good.,not sarcastic,
4 ways caffeine keeps you from realizing your potential,not sarcastic,
quantum lip,not sarcastic,
new energy secretary guesses he ought to read up on energy,sarcastic,fresh energy ought guesses he secretary to up along energy
nikki lost 89 pounds: 'any mom will tell you scheduling time to exercise can be very hard',not sarcastic,
usher and harry belafonte talk activism in joint appearance,not sarcastic,
decoding america's immigration sentiment,not sarcastic,
from music festivals to college campuses: trans* and women's communities,not sarcastic,
mom and dad take hilariously relatable back-to-school photos,not sarcastic,
