speech,detection,transformed_speech
"New York Brownstones , designed by European Whites .",no hate,
Lots of whites recover from a case of jungle fever to find that they 've done irreparable damage to their lives .,no hate,
We have a National party in Canada they are just not that recognized yet. check out Nationalist Party of Canada and support !,no hate,
I took a race and ethnicity class at the college I went to .,no hate,
But you are most welcome anyway Ugric _ Warspirit .,no hate,
"Raising 1 healthy , racially aware child is worth more than all the libtard and mud children in the world .",Hate,"Raising 1 healthy, aware racially child is worth to a greater extent than all the libtard and mud shaver the in world"
That would n't be nice .,no hate,
"I live in Georgia , namely the metro-Atlanta area so naturally im surrounded by monkeys .",no hate,
Now that is good news as I frequently heard amongst my people that they will only stand together and fight once they have lost everything .,no hate,
Adopt their musical style and hand gestures and you poison your own soul .,Hate,their musical poison and hand gestures and panache your possess someone.
You picked a poor time to start such a thread seeing as how just this week the IRA were categorically cleared of all paramilitary/terrorist/illegal activity .,no hate,
A mud is a mud is a mud that 's all there is to it .,Hate,A mud is a mire is group it mud that 's there to A.
It 's embarassing .,no hate,
I 'm supper happy ur at my school IM NOT ALONE,no hate,
"This morning I found a video that was quite interesting , as it demonstrated how this question frequently comes up even after serious crimes .",no hate,
14/88,no hate,
I'm an adult in my late 30s .,no hate,
Robert,no hate,
"Waiting to buy a new product is almost always a good idea , let someone else experiment .",no hate,
"If you want to hear what a black `` intellectual '' ( lol ) sounds like , check out the woman in this video trying to debate Dr. William Shockley .",Hate,"video out want to hear what a disgraceful `` intellectual `` ( lol ) audio like, check you the woman in this If trying to debate MD William Shockley."
Rüütel spoke of how hard the times had been at the time of the decloration of independance .,no hate,
I think there are some great Country and Western songs about or related to driving trucks .,no hate,
How can they do well at anything that requires logic when they are required to accept that A and B are equal ?,no hate,
I said drugs mess up babies that grow up and ruin society for everyone else .,no hate,
Though they are trying to pass open carry of a handgun .,no hate,
"Click to enlarge , then save to desktop to use ! cb punet square1.PNG cbr punet square1.PNG ca punet square1.PNG I made these a few days ago and was using them on Craig 's List in Europe .",no hate,
"That is correct , White men with guns built America , and it will likely take White men with guns to take it back .",no hate,
DO you guys still attend school or how old r ya ? just want to put it into perspective since i am the only one who dresses like a skin at my school ... i think,no hate,
The essay itself is chock full o ' helpful hints on info distribution .,no hate,
"I assume you went to the High Caliber gun show in Houston , I usually go when they are in Conroe and I know the feeling the last two or three times I did n't get much or see anything that really caught my eye .",no hate,
The treatment of ethnic Germans in both the east and west after the German surrender is the real genocide that no one wants to talk about .,no hate,
"At the resturant , the Pres. of Hamms orders a Hamms , the Pres. of Schlitz orders a Schlitz , the Pres. of Budweiser orders a Bud , and the Pres. of Guiness orders a cup of tea .",no hate,
White people - report immediately to Californian University for `` re-education '' .,no hate,
"Just wondering , hope they take that slogan all the way back to Africa .",no hate,
For God 's sake nobody cares about this childish personal crap .,no hate,
I was so shocked to see all those blacks when i moved to Holland : S,Hate,I was sol to see those all blacks when i moved to Holland : mho
Maybe they will be resettled deliberately as refugees or maybe they will come for the women like the chinese men are doing .,Hate,Maybe they will embody resettled deliberately as refugees operating fare perhaps they will room women like the chinese doing are men.
Dare to speak out in a country with supposed free speech and you 're labelled a bigot !,no hate,
I dont like reporting people but the last thing I will do is tolerate some stupid pig who claims Hungarians are Tatars .,no hate,
Can you imagine the hell this young girl went through and for how long .,no hate,
The only reason Whites were successful was because we took those things from other cultures and races ?,no hate,
Stupid White Man makes vacation get away in living room .,no hate,
"We need more of our kids on the honor role and in college , crowding out the non-W 's !",Hate,"We need to extent greater a our nipper on the role and in college, crowd out the non-W 's!"
"Every f * cking school child knows that the Globe is round , only total PIZDAS do n't .",Hate,every f * cking train child that the orb is round PIZDAS total only do n't.
I remember after the Boston Marathon bombings watching Fox News and they said law enforcement was consulting Israel for advice .,no hate,
"There are southern theories for the origins of the Slavs , you know .",no hate,
"To me , the definition of a WN peace maker is a White person who uses political will and psyhical expression to defend and create the survival and existence of the White race .",no hate,
If you had your way their would be no whites to pay taxes so the blacks could collect welfare and as they have proved in Africa they are incapable of feeding themselves,Hate,
".457 round ball over an Ox Yoke Wonder Wad , over a 30gr Pyrodex pistol pellet , which is over 5-25 grains by volume of FFFg equivalent 777 ... fired by a #10 Remington Magnum percussion cap .",no hate,
More expansive testing and kids .,no hate,
If English/Scottish/wherever fans refused to turn up to watch teams of coloreds representing them on the pitch things would change .,no hate,
https : //www.stormfront.org/forum/show ... li-525314.html According the Sweden research. the report clearly show it in figures .,no hate,
No Jew has ever found a way to force a big black females to parrot Marxist propaganda the way that little dumb liberal anti-whites will .,Hate,Jew always found a way force that big black-market females to parrot bolshy propaganda the way liberal little dumb a anti-whites will.
"Welcome, but please do make an effort to use proper English when posting , rather than mobile phone text messaging style .",no hate,
I dont see how people can ignore this issue much longer .,no hate,
"The Savage Mark ll is affordable , accurate , and comes with the adjustable Accutrigger .",no hate,
"I want to see Whites bused in there until the Latinos are a 30 % minority and not outnumbering the Asians , Blacks and Whites .",no hate,
He has won many awards and has been featured in Tatto magazine .,no hate,
If you want to start doing something productive for your race you can start by posting Mantra .,no hate,
It happened in Taco Bell once and I just grinned at him and he turned away .,no hate,
The churches in my city are full of liberal school teachers .,no hate,
"i have been using Firefox for about 6 months now. ive never looked back , IE is so slow when compared to FF",no hate,
I 'm too close to the left coast .,no hate,
I'm pretty sure the average black is stronger then those white men that date asians or the ones who let their wives take control of the household .,no hate,
Just be patient and go slow .,no hate,
Switzerland pay 700 millions $ each year for refugees !!!,no hate,
"See, South Africa is just a glimpe into OUR future , as the beasts of Memphis run it directly into the ground .",Hate,
I hope the mods kill this thread .,no hate,
man i always have a hard time when ever i try to make a website too much stuff to do i get confused well anyway id really like to see that website whenever you get finished with it Heil Hitler,no hate,
I would probably be French instead of American .,no hate,
Brampton is a run down place now that I would n't live in even if you paid me .,no hate,
"I told my daughter if I saw one photo like that on her Facebook page , I 'd let her brother hack her account , then photoshop it at will .",no hate,
There is no good in reasoning a bitch that is hungry for a dick.Forget her and let her perish in shame after negroid kicks her after a few tries .,Hate,
"Best Wishes , John Londen .",no hate,
Powerful video that shows how primitive these beasts are .,Hate,
Aragorn,no hate,
He and Roosevelt deserve to die a thousand deaths .,no hate,
"This story could came from the very twisted news of the first days , when hostages were taken .",no hate,
Dumb goyim are a good revenue source .,no hate,
"i dont get to newport very often but whenever i do go its got loads of asians wandering around , mostly muslim by the looks of them. i live a couple of valleys over from there .",no hate,
Had to make it up that is why,no hate,
I miss my mark if the movie Jack London was n't shown at the The Jack London Literary Prize Banquet .,no hate,
http://www.census.gov/geo/www/mapgal...inPD-1990.html,no hate,
The PLE 's will be our sayanim .,no hate,
Then it back to getting the gun and shooting .,no hate,
Fedor going down like he did hurt a lot too .,no hate,
I 'm pretty sure that tens of billions are sent abroad every year even though 50 + % stays in Sweden .,no hate,
Also .. you can get a 5.56 rig pretty darn cheap these days .,no hate,
"Well that 's your misery I hope this will help : 1 m = 100 cm 1000 mm 1 "" = 25,40 mm = 2,54 cm = 0,0254 m 1 ' = 304,48 mm = 30,48 cm = 0,3048 m 1 ' = 12 `` Then ... start calculating",no hate,
"You will find many true White Nationalists indeed have tattoos so your statement they are stupid and retarded is all your own , you wont make many friend here with that attitude .",no hate,
Dr. Duke really drives into the nerve center of communism in this video clip .,no hate,
"There comes a moment when we must act , regardless of the consequences .",no hate,
"hmm, wonder if we can get them to jump in the river if we put an ad on TV that there is billions in gold at the bottom of the river ?",no hate,
"they need to feel it on their skin , so next time they wont give my land to the some subhuman muslim dogs .",Hate,
The media will praise and encourage the non-white establishment while denoucing and degrading the White man 's establishments .,no hate,
More the reason why I want to home school my kids .,no hate,
"As of March 13th , 2014 , the booklet had been downloaded over 18,300 times and counting .",no hate,
BTL,no hate,
I personally think she sounds like a strangled cat .,no hate,
Hey there I 'm just up the mountain from u .,no hate,
Croats were so fortunate to have such reliable allies .,no hate,
For one thing .. she dyed her hair .,no hate,
This is pretty much perversion indoctrination to kindergardeners .,no hate,
This whole situation starts to become really bizarre .,no hate,
Everything that symbiosis a western nation is now becoming a `` Hate Sign '' How come anything that represents Jewish or Muslim traditions is not a symbol of hate ?,no hate,
I have no intention of ever setting foot in Mexico so I 'll have to take your word for it .,no hate,
Re: What is happening in our schools ?,no hate,
But the dance itself has elements also found it Bulgaria .,no hate,
The last time I heard of anyone beating anyone up is when the guys down in miami from wctoc were arrested for doing there duty .,no hate,
Arab militias doubly so .,no hate,
They were usually independent collectors with their guns on display or private collections for sale .,no hate,
it is so good to know there is so many proud white people out there to carry on the fight ! i salute you all .,no hate,
You can stop this by getting a dead pig and bury it underground where the mosque will be built .,Hate,You force out stop dead aside getting a this pig bury it underground where the mosque will represent make.
"Oil on canvas , 60 x 70 cm .",no hate,
You have 10 seconds to list each of your 8 kids names AND the names of their 8 different fathers .,no hate,
"Haha, I 'm on my phone now and ca n't type a huge response , but I want to congratulate you on your nomination for worst liberal logic ever .",no hate,
Does he know what `` infringed '' means ?,no hate,
Whites need to learn where they came from and who stole their ancient stories in order to control us .,no hate,
"The Aryan Body , Mind and Soul - Prodigies and Geniuses Johann Sebastian Bach ( March 31 , 1685 - July 28 , 1750 ) Johann Sebastian Bach was a German composer , organist , violist and violinist whose ecclesiastical and secular works for choir , orchestra and solo instruments drew together the strands of the Baroque period and brought it to its ultimate maturity .",no hate,
"About 8 years ago , I scored much higher on other types of tests .",no hate,
Who are you ? and how did you get your hands on it ? pm me or send a email please,no hate,
I never fell out of a hump back in the day .,no hate,
We are ALL on the same bloddy side !,no hate,
Half of winning a fight is attitude .,no hate,
I hear the jews are looking to open a Holohoax center in Antarctica next year .,Hate,I hear the jews exist looking to heart-to-heart center Holohoax a Antarctica next year.
Last Friday an associate here handed out 100 NV leaflets at a rodeo depicting a graphic summation of non-white ( mestizo ) immigration .,Hate,in conclusion Born an associate here handed prohibited 100 Battle Fri graphic at a rodeo portray a State sum of non-white ( mestizo ) immigration.
"Ivan Ivanovich Shishkin , January 25 , 1832 March 20 , 1898 ( Иван Иванович Шишкин ) Felling of Forest , 1867 Landscape with a Lake At the Seashore , 1890 ( sketch ) Birch Grove , 1896 View at a Neighborhood of Petersburg , 1856 Swiss Landscape , 1866 Forest on the Eve of Thunderstorm , 1872 Oak Forest in a Grey day , 1873 ( sketch ) Swamp .",no hate,
He 's gone .,no hate,
"I mean just look at these photos , dont you get same feeling ?",no hate,
The thing that concerns me is that he got a house off the council thats a house that a Irish family should have got .,Hate,
But your laughing smilie is misleading .,no hate,
Either when the last White child is brutally murdered or when the last of our enemies perishes .,no hate,
"I prefer classical music and marching band works , particularly the kind of score that was written for marching band , not some pop song transcribed to be played by instruments .",no hate,
"The Hubble images were combined with images from the Keck telescopes taken on Aug. 20 , 21 , 30 , and 31 to measure the satellite 's orbit and calculate a mass for Eris , which is the largest dwarf planet in the solar system .",no hate,
"Take pics of blacks , junkies and gangsters on the streets and next take pics of the schools .",no hate,
My new next door neighbors are Chechen and they have red hair and light skin .,no hate,
My 22 pump action long rifle for fun My mosin nagant for hunting My semi automatic 12 gauge for home defense buck shots My browning 1919 for personal side arm My mauser k 98 k scoped for hunting,no hate,
A History of Everyday Things in England 1066-1499 .,no hate,
"That is about as cheap and low as I 've seen it around here , your task is so transparent as to be laughable .",no hate,
"Take it slow then gradual , hell make them watch MTV for a few hours it 's the same thing as animal planet. and just gradually introduce them to your views .",Hate,"it slacken then on, hell get them keep gradual eye an MTV for A hours it 's same group A animal planet. and just gradually introduce to them your views."
You find they are worse since they will able to blend more and fool people into thinking they 're genuine .,Hate,they are to since they will capable worse blend more and fool people thinking they 're genuine.
Will you please go to this link and sign the petition in support of the right of Russian Nationalist to march .,no hate,
And you nonwhites are mostly here to be unjustifiably abusive ?,no hate,
"One thing you seemingly cannot grasp--that JEWS themselves are messiah , and their kingdom is earthly .",Hate,
Every Hispanic I have known is terrified of dogs and do n't like cats either .,no hate,
Last week the crowd were chucking snowballs at Peter Shilton .,no hate,
http://www.facebook.com/pages/ % D0 % A0 ... 19205191443389,no hate,
"Only 6 Corporations Control Over 90 % of the Television Channels These Corporations are Anti-White and are Turning Our People Into Zombies Let 's break the monopoly of news and information by supporting alternative , pro-white media like Stormfront .",no hate,
"http://www.guardian.co.uk/print/0,,3...117780,00.html Executive summary : the negroes never domesticated any plants or animals .",no hate,
It seems that what they are trying to say is that if you are white you are in the wrong place at the wrong time anywhere in the World .,no hate,
And they Speak Arabic .,no hate,
Do you post at VNN ?,no hate,
Check out my video below and let me know what you guys think Cheers !,no hate,
I was n't there too long but long enough to hate that place .,no hate,
The tone of voice is actually a lot like icelandic or old norse .,no hate,
Invictus Press Home Page,no hate,
"He was a saint apparently hope nothing awful happens to my white brother and sisters in SA , keep safe .",no hate,
I put you on my msn. dont accept if you dont want too,no hate,
Or maybe there is and I just do n't know about it .,no hate,
I - hate - to see men of all ages wearing baseball caps in inappropriate environments .,no hate,
We do import more food than we export .,no hate,
But on a humourous note it could also mean `` burnt earth '' ( svidd jord ) .,no hate,
I'd rule as a black government but would keep the whites around just to keep the place running smooth and efficient .,no hate,
So.. she is getting food stamps from a state she has n't lived in for months ?,no hate,
"If anybody can email me and let me know how I can get involved please let me know : therealfixxx@hotmail.com I was born in New york city , Im 26 and I did four years in the marines so I have alot to talk about .",no hate,
If it takes double a batteries it will always run .,no hate,
Well you are too your family tree comes from Macedonia also the white part of it anyway .,no hate,
"But if White people find a user for a plant native to Africa , the negroes want a royalty .",Hate,
So Whites in the next generation are only 20 % of the population ... in their own homelands .,no hate,
Seen some girl about 6 years old begging on grafton street once and we were coming out of a shop a few mins later when her father pulls up in a decent car. scum. the lot of them .,Hate,Seen decent little girl comprise 6 years previous begging along grafton erstwhile we about coming factor of antiophthalmic proscribed a few later when father pulls improving in a some car. trash . the of lot them.
May they be put away for good .,Hate,May they be put good for aside.
In clubs that search people you see them get their asses handed to them .,no hate,
"I believe Abraham 's faith was tested by God when he asked him to sacrifice Isaac , the quran falsely claims it was Ishmael .",no hate,
Really ?,no hate,
The way Jews work together with such cunning would be admirable if their works where not to such disgusting evil ends .,Hate,
"Indeed, I have n't seen or heard machines raping or robbing people in the streets of Stockholm yet , non-european immigrants however ...",Hate,"heard, I give n't seen indeed machines ravish or robbing multitude in the streets of Stockholm up to, non-european immigrant however"
"When it happens to your friends they will come to you for advise , and they will see you were right all along .",no hate,
Size rarely matters .,no hate,
"i was brought up the same way my father always told me if someone hit me i was to hit them back and twice as hard so they thought twice about doing it again he also told me `` when my mother was out of earshot '' that if the person was bigger than me i was to pick up the nearest thing to hand and smash their head in with it and not to stop till the ambulance came , needless to say i speny most of my teens chasing the bigger kids around with a baseball bat .....",no hate,
Kamerad,no hate,
We must stand for something together for alone we stand for nothing .,no hate,
"For our Folk , Melody",no hate,
The reason they are killing themselves is because our weak liberal goverment are too afraid to make them do any sort of training ..,no hate,
http://movies.nytimes.com/2009/02/06/movies/06shor.htmlYouTube-NewBoyhttp://www.getthebigpicture.net/blog...m-new-boy.html,no hate,
"Well , the warm weather is coming in and guess what , I now have to painstakingly endure all the offspring of these immigrants , Africans , foeigners ( Im putting them all because there is that many of them ) all playing out the front of the flats in the small garden area , screeching and shouting and their hyena pitched laughing .",Hate,
I know a non white who got 5 A 's and 4 B 's but he robably cheated 2508,Hate,who know a non white unity A 's 4 B 's only he robably cheated 2508
I'm glad you pointed this out that anti-Bullying campaign has been used to promote homosexuals who are more likely to bully anyone who disagrees with them .,Hate,ace glad pointed this out that anti-Bullying up been used to promote who make has more in all likelihood push around anyone who issue take with them.
"Cool, Texas is good .",no hate,
"If you have not already done so , check out the Stormfront South Africa section , in the International Forums .",no hate,
2508,no hate,
"I was happy to see only whites in that movie , though there could 've been a few jews or half jews there but I would n't know .",no hate,
i think the main problem with our movement is that we 're not subtle in our approach. we need to use words that do n't promote controversy. instead of saying racial purity we use words like idenity .,no hate,
I 've gone to public school all my life and have been force fed this crap since 7th grade !!,Hate,I 've gone public school and my life all have been force Federal this crap since 7th range! !
Best thing to do is go along to a Blood and Honour gig.There is one in London in 2 weeks .,no hate,
The churches also used to operate hospitals .,no hate,
Shoots good groups .,no hate,
I heard about it is it about that white guy that killed that race traitor slut and her nig nog boyfriend ?,Hate,one it is it near that that that killed bozo hasten traitor slut and her nig nog fellow?
An emission nebula cataloged as Sharpless 249 fills the field at the upper left .,no hate,
Is this the one who broke out of six different concentration camps as a child and swam 200 miles upstream in the icy Danube River ?,no hate,
"Sorry but the no child left behind program is bull in my mind , but if people are unintelligent it means they wo n't think for themselves and if they do n't think for themselves they are easier to control. thats pretty much laying down the ground work for for future generations of kids to be obese , corperate sell outs for the government to use .",no hate,
We say here that if we want to be lied to just watch the news !,no hate,
"The negro is for White genocide , and I have nothing for the negro , not even sympathy in any way .",Hate,"The negro for White murder, for i have and the negro, not even sympathy in any right smart."
"14Hail Victory88 , Sean Gillespie : attack",no hate,
"Unfortunately , there are some poor White families where both parents work .",no hate,
Just like this thread should be stickied .,no hate,
"Peter, it is no suprise that you were the first to make a comment on this thread .",no hate,
"The famine was a planned event , to pacify a troublesome country .",no hate,
"I hope so , but I would still like to thank you Day of Vengeance for bringing up to my attention the issue mentioned above Thank you for caring Day of Vengeance .",no hate,
It 's a symbol demonstrating a lack of oxygen to the head of all its members .,Hate,
Come and have a look around the area where I live and see all the 18-25 year old Muslims parked up outside the schools trying to entice 13 - 16 year old English girls to get in their cars .,no hate,
No one has ever asked my opinion and as someone said ... I do n't know a soul in this country ( well maybe our president ) who wants Turkey to EU ...,no hate,
"If they want to fire all these leftist moonbats and replace them with genuine White conservatives , I 'm all for it .",Hate,"If they want sack one these leftist moonbats and replace them with genuine clean conservativist, all 'm all for it."
I go into town and put resistance.com buisness cards in public libraries and give them out on the street to various people that have a white complexion .,no hate,
14/88,no hate,
Perhaps the proud indigenous inhabitants of Dublin do n't want their culture ' enriching ' ( ruining ) with tripe like this .,Hate,Perhaps the proud indigenous inhabitants of Dublin do n't want enrich culture'their'bankrupt ) applesauce like.
i love it when jews get a taste of thier own vile medicene I hope each and every one of them young to old starve in the cold,Hate,lie with each when Israelite get axerophthol penchant thier own vile to I hope to it and every one of them young medicene old starve In the cold
"Holy cow , I cannot believe the BS that goes on in a public school system vs. actual learning .",no hate,
That 's every groid 's wish anyways .,Hate,That 's at groid every any rate.
YouTube - Ukraine in WW2,no hate,
"Obama has membership in Prince Hall ( for blacks ) lodge and will become the next president , according to this guy : [ youtube = http://www.youtube.com/watch ? v = _ nLfRsReGII ] Zagami [ /youtube ]",no hate,
"Eldritch and myself went early to the harbour , but all the boats were cancelled on account of rough weather .",no hate,
The home learner 's site is down can someone maybe email these to me or send me a copy of each ?,no hate,
Would it not be better to sack the black workers and employ Whites from the camps .,no hate,
"And .... I know the rose hair is n't a reptile , but she 's sweet and I could n't leave her out They are another misunderstood family of creatures .",no hate,
"Somehow, it is not hard for me to imagine you fighting off an entire police force , you certainly sound mean enough .",no hate,
The WACPG 's focus is to shed light on how backwards we have become over affirmative action and allowing black established programs to grow and prosper while closing anything that benefits White Americans .,no hate,
They should be tried for being accessories to murder !!!!!!!!!!!!,no hate,
There is no honor in a street fight .,no hate,
My wife had to spend time at the UP Hospital in Philadelphia - thank God I was licensed to carry in Pa. Downtown Philadelphia is becoming a cesspool .,Hate,My wife had to licensed time At up hospital Indiana Philadelphia - thank God was drop to carry in Pa. Downtown City turn Brotherly Love is of a sink.
http://www.youtube.com/watch?feature...&v=WkLHXKHb1VcManufacturingmemorieshttps://www.youtube.com/watch ? v = XcywPdORySA Memory expert Elizabeth Loftus shows Lesley Stahl how memories can be manipulated .,no hate,
"Yes, this painting is in the Art Institute of Chicago .",no hate,
I wonder if this is the taste of what 's to come to all of Europe in a couple of decades .,no hate,
What the ...,no hate,
So you would refuse even other Nordic whites fleeing the brown chaos in the south ?,Hate,chaos you would refuse even other Nordic T. H. White fleeing the chocolate-brown So in the south?
Are you asking the Africans in South Africa why they hate White people so much that they have murdered over 40 thousand of them since the end of White rule ?,Hate,Are you thousand African IN Dixieland Africa they hate White the so much that they have murdered ended 40 asking of them since people end of White rule?
Consider yourself ignored .,no hate,
"Sørensen , 19 years old , was born April 8 , 1982 in Kolding .",no hate,
"What you say about Blacks , Arabs and Jews are LIES .",no hate,
"I have been recently told that the 2nd toe , the one that rests beside the big toe is a genetic distinction if you are of Celtic Stock .",no hate,
"Watch the video , its only 10 minutes , you will see that eventually the bi-racial minority is butchered .",Hate,"Watch the video, its minutes decade only, you will realize that finally the bi-racial nonage is slaughter."
"Non-whites are looking out for their own interests , race traitors are an enemy by choice and choose to unite with enemies and not whites .",no hate,
Next week is Thanksgiving .,no hate,
You may as well think of it as the blood of an animal .,no hate,
Not to mention the political correctness spew thrown into the ' actual learning ' .,no hate,
Have you ever gave hard knocks better than you got them ?,no hate,
Lots Of Beer And Food !!!,no hate,
Africa : Britain Has Put Together A # 52m Aid Package For Drought Victims In The Horn Of Africa | World News | Sky News,no hate,
same over here in australia. the entire melbourne taxi system is filled with indians and africans. its funny that there are no calls for diversity in the taxi industry,no hate,
I think they are just desperately trying to be more popish than the Pope himself and avoid accusations of racism before they are even expressed by demanding increased immigration .,no hate,
We have already reached that point ages ago !,no hate,
Which part are you in Berserkergrrl ? 11,no hate,
"I cant understand why people in Britain loves so much to breed with non whites , it keeps me shocking when i go there .",no hate,
I guess everyone is doing Glacier this weekend .,no hate,
What age is too old to start driving a truck on the long hauls ?,no hate,
"Having said that , i like it .",no hate,
"Someone always gets shot at that event , this year it 'll probably be much worse .",no hate,
"Educating the Lemmings in reguard to the Isreali agenda , which is fighting a war for the Jew 's benifit not America 's .",no hate,
I was just about to post a similar thread .,no hate,
And it stunk like refer and black sweat .,Hate,
I screamed WTF and the GF came running out of the bedroom wondering what happened. we both got a good chuckle out of it .,no hate,
I ca n't wait to finish this course I think I have about 4 weeks left .,no hate,
"This was on the news tonight and I thought WTF Is this some kind of joke , I 'm sick of the West taking in the Worlds garbage",no hate,
YouTube - Milk The Deadly Poison WATCH THIS !!!,no hate,
"I dont mean with kids THAT young , you are doing the right thing with them.But an extreme approach works with teenagers",no hate,
"Yep, her name is Thunderphoenix .",no hate,
Taras Bulba ( 2009 ) ( English subtitles ) .,no hate,
The most feminine form which these days has been lost .,no hate,
I 'm getting ready to head out to move in with my SF romance in a couple of days .,no hate,
unfortunately chicago doesnt prove this .. we need to send them all to the poles we could make better use of africa,Hate,
Not to mention the sick Asian perversion many white men have .,no hate,
She was probably the victim of a groid rage rape also .,Hate,
I was always under the impression that the whole sitting down together and being friendly story was a bunch of BS .,no hate,
"An even smaller pellet is probably ideal , #4 Buck , perhaps .",no hate,
Great to see there are a few others that are absolutely at the end of their rope with the virus we have sucking this province and country dry .,no hate,
The image is tainted and was bad to begin with .,no hate,
Public schools have been left wing indoctrination centers for a century .,no hate,
"It's a good to add a hint of truth in your essay 's but maybe you have it better off then I did at high school , every teacher I had was very liberal and anti-racist , and could barely accept the truth .",Hate,"It 's a hint add truth of i your essay 's but perchance have IT better off then good serve at high school, every teacher I had embody openhanded and and could barely accept the truth"
Hail The White Race ! 26.12.2012 New Right Conference - London 2012 - YouTube,no hate,
"As far as im concerned as soon as the little half breed is born , it should be tied round her neck and both mother and mulattoe should be flung in the nearest river.Lets see if daddy jumps in to save them !",Hate,"As far as im concerned as close long as piddling half breed stick out, it jumps marry rung her neck and both and mulattoe should if flung Indiana before river.Lets see be should inwards to them!"
What a pathetic loser b ! tch ! : goof,no hate,
I 'm sure I 'm not missing much .,no hate,
"March 21 is the White man march against White genocide , March Against #WhiteGenocide - March 21st 2015 And the 15th of every month is White defense day White Defense Day , the 15th of Every Month",no hate,
"Was at Walmart the other day and for 100 rounds it 's about $ 25 for 9mm , and about $ 40 for .40 and .45 .",no hate,
14/88 .,no hate,
For analogy : you put feces in your soup you put water in your cars gasoline tank you feed your livestock poison You water your plants with salty water Giving your kids FAS You do n't need to punish these people .,no hate,
There must be much less whites and much more blacks and Jews than what the statistics tell us .,no hate,
Just ran across this letter from Finland written by a non-racist .,no hate,
They are kinda a gray brown with either dark hair or some sort of brown hair ?,no hate,
It was FREE ...,no hate,
The Jews say they are The Chosen Ones The Blacks say they are the original Hebrews Israelites Our worst enemies want to be us and we refuse to accept that we are HIS ! ... and so it goes ..,Hate,The Hebrew say they say The The Ones opt Blacks are to are the master Hebrews Jew worst opposition want they be uracil and we refuse take that we are HIS! ... bad so it go and..
Those are some of the most stupid posts I have ever read in my life .,no hate,
"If a show does n't involve homosexuals and/or interracial coupling , then it has a bunch of jews masquerading as whites running around with guns killing other whites .",Hate,"If a demonstrate off n't regard and/or interracial mate, it has a clustering of whiteness as whites incline around with guns toss does other masquerading."
I'm a high school senior .,no hate,
Kinda proves they are n't the Herbrews of the Bible .,no hate,
And also Happy Birthday David Irving .,no hate,
Really?,no hate,
You have to have your extreme papers to move here .,no hate,
"``RiceArrives in Lithuania for NATO Talks . '' http://news.bbc.co.uk/1/hi/world/europe/4466747.stm Go Home to Africa , Condoleeza Rice !",no hate,
I did feel for the white teachers and especially the white kids who went to the schools .,no hate,
"We went `` feet to floor '' , I wound up on top , secured his right arm and got him in a `` rolling armbar . ''",no hate,
May have to get some one day .,no hate,
"ALL this high school talk makes ME feel old , and Im 19 !!!",no hate,
I could n't stop laughing at that photo long enough to actually read the article but I imagine it 's more of the same old same old .,no hate,
"Below is a video of Mr. Hitchens in action when he was last seen on BBC Question Time : Peter Hitchens : Gay Marriage , Immigration , Drugs and Charity - YouTube",no hate,
"I was beaten and robbed by two natives last year and over the last couple of years I have watched downtown turn into black , brown and yellow town. the food court at Portage place has started to remind me of the creature cantina from star wars .",Hate,"the live beaten and robbed by two of in conclusion year and over I final stage couple aboriginal years i birth watched downtown turn into, brown and yellow townspeople. the started court at send has nutrient remind Maine of the creature cantina from star war."
This is the `` 4th attack on a teacher in the last 2 weeks . '',no hate,
Most Bibles never used the word Jew untill the late 1700 's .,no hate,
"He never mentioned anything about the lack of white women on Stormfront .... He is looking for Proud , White Women in Florida",no hate,
Give them their interview but be careful not to say anything stupid.Tape the interview for legal reasons put it up on the net.Let the truth prevail .,no hate,
You are going to have to make this decision on your own .,no hate,
I went on the EDL page last night and I saw the funnies thing .,no hate,
Asians are fairly well mannered and intelligent and easier for most whites to get along with .,no hate,
USA is represented by a negro family and Australia a I have no clue what family .,no hate,
I bet they 'll find a way to invent a new hoax .,Hate,
I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .,Hate,I up White and people believe all White people eff the genocide 'tween cost and wrong no matter what they enjoin about their political positions.We are facing difference as a I the infighting mightily equitable loved past non Whites.
"Literally no whites When I lived in Naples when I left it was a lot of non white , but nowhere near like it is now .",no hate,
"*Bernt Anker Hoffman , Pakkis , 1929 .",no hate,
Goals??,no hate,
Hi i have not been on here in ages .,no hate,
The Rübenach and Rodendorf families. .,no hate,
I have not head much more about it since .,no hate,
I was beginning to think i was alone out here .,no hate,
It's good to see an educational institution that maintains its values and refuses to bow down in the name of `` progress . '',no hate,
"Hi all , never posted in here before but ive been on sf for ages. live near london - but thinking about relocating up north ( i cant imagine why lol )",no hate,
"Blacks and mexicans were represented thoroughly. do yourselves a favor , shoot your t.v. !",Hate,"Blacks and represented were. do shoot a favor, yourselves your t.v. !"
"It was too much police and security police involving , but you will see in Latvia.Also , all that crap was lasting about some 45 minutes .",no hate,
"It 's not very Irish to talk behind backs , Ted .",no hate,
http://abcnews.go.com/International/print ? id = 2483106 AP Story,no hate,
The Mighty Sisto-You live in Laguna Beach ?,no hate,
Die Antwoord - `` Cookie Thumper '' ( Official Video ) - YouTube,no hate,
"But we must need to be able to name these characteristics to have credibility , so we need to collect anthropological and genetic evidence that will prove there is a white race .",no hate,
This video is just plain hilarious .,no hate,
