article,truthfulness
HUGE SECURITY LAPSE: International Flight Passengers Skip Customs,fake
Obama defends record on terrorism in national security speech,real
 Hillary Clinton Did Not Send ‘Top Secret’ Emails On Private Server,fake
BREAKING DISCOVERY: CLINTON FOUNDATION SHARED EMAIL SERVER LOCATION WITH HILLARY’S SECRET SERVER,fake
BREAKING: NORTH KOREA Can Now Fit Missiles With Nuclear Warheads…Thanks Obama,fake
Trump says may tie infrastructure with healthcare or tax reform: NY Times,real
“This Is TOTALLY FAKE!” Tucker Loses His Temper on Russia Conspiracy Hack [Video],fake
State Department official 'pressured' FBI to declassify Clinton email: FBI documents,real
LOL! MOTHER OF TWO Just Got A BIG SURPRISE From Her Employer After She Became A Hero To Democrats For FLIPPING OFF President Trump’s Motorcade,fake
NATO launches Black Sea force as latest counter to Russia,real
 Colbert Outs Republicans As The True Weirdos For Obsessing Over Who Goes To The Bathroom (VIDEO),fake
49 Year Old “Political Refugee” Flies To Dubai Days Before Trial For RAPE Of Grade School Girl In Washington,fake
WATCH: FORMER CHILD ACTOR Tried To Call Out Powerful Hollywood Pedophiles on The View…Barbara Walters and Female Co-Host Shamed Him: “You’re damaging an entire industry!”,fake
Ryan opposes Trump working with Democrats on healthcare,real
OBAMA’S EMBARRASSING Farewell Interview: Mom Was “Hippie” But Shaved Her Legs…Promises To Take 5-Star Mooch On “Nice Vacation…She Deserves It”,fake
"Medical students, faculty rally to try to save Obamacare",real
"“DRIVE THEM OUT OF YOUR PLACES OF WORSHIP!” London Imams Take President Trump’s Advice, REFUSE To Perform Funeral Rights For Islamic Terrorists [VIDEO]",fake
SYRIAN MUSLIM IMMIGRANT HAIRDRESSER SLITS Female Employer’s Throat After Media Hailed Him As “Example Of Successful Integration”,fake
DOJ Funneled Housing Crisis Money To Immigrant Activist Groups Like La Raza,fake
Trump lawyers make final Supreme Court pitch on travel ban,real
SHOCKING AUDIO RELEASED Of John Kerry Discussing Obama Allowing The Rise of ISIS To Help Regime Change In Syria,fake
TRUMP TWEET STORM On Obamacare Sets Up Battle with Democrats On “Lousy Healthcare” [Video],fake
 Democrat Takes Trump To The Woodshed In Fiery Speech Defending NFL (VIDEO),fake
"BLACK TV HOST HAMMERS RACIST MOOCH: ‘The only hope you have Michelle Obama, is that everybody will be as miserable as you”",fake
OBAMA DOUBLES DOWN On The Threat Of Climate Change vs. Terrorism [Video],fake
LOL! Democrat Congressman Says Best Way To Fight “Fake News” Is To Watch MSNBC [VIDEO],fake
 Medical Examiner Finally Releases Report On Death Of Music Icon Prince,fake
 Ben & Jerry’s Ice Cream Founders Get Arrested At U.S. Capitol,fake
[VIDEO] FLASHBACK…MARTIN LUTHER KING JR. ON RIOTS: “We Can’t Win A Violent Revolution”,fake
Ukraine agrees to sign EU summit declaration: officials,real
(VIDEO) PACKED HOUSE: DONALD TRUMP’S SPEECH FROM TODAY’S IOWA RALLY,fake
LET THE REPARATIONS BEGIN: Rahm Emanuel Uses $5.5 Million Taxpayer Dollars To Gain Favor With Chicago’s Black Voters,fake
UNREAL! OBAMACARE CREATOR Blames Republicans For Mess He Created! [Video],fake
Pakistan official details car chase that freed kidnapped U.S.-Canadian family,real
 Seth Meyers Dubs Oregon Militia Terrorist #Tarpman In Most Hilarious Mockery Yet (VIDEO),fake
"Nothing should change, says Britain in bid for post-Brexit security pact",real
"ACLU DEFENDS ILLEGALS? SUES DOJ, ICE Over Arrests of Illegal Alien Teen Gangs: “That was play-fighting”",fake
EU's Tusk appealed to Rajoy to avoid escalation in Catalonia,real
OBAMACARE LOAN SHARK: If Gov’t Can Extort More Money From TAXPAYERS…OBAMACARE Can Still Work [VIDEO],fake
EPIC! TUCKER CARLSON Demolishes NYC Councilman Over Sanctuary Cities [Video],fake
"Trump tries to move past controversies, says he is keeping promises",real
OBAMA’S SPEECH ABOUT “CHILD SAFETY” Was Interrupted When Rapper Guest’s Ankle Bracelet From KIDNAPPING Charge Went Off,fake
RUBIO Sides With Democrats On Giving A Whopping $2 Billion For Zika Virus Prevention,fake
 WATCH: BIll Maher Noticed Something Really Disturbing About Trump’s RNC Speech,fake
MAXINE WATERS Gleefully Reveals Plan to Destroy Trump in Disturbing Interview [Video],fake
SENATOR DICK DURBIN NEEDS A CIVICS LESSON: “Susan Rice Was Doing Her Job” [Video],fake
Homepage,fake
‘SLEEPY’ JUSTICE GINSBURG: Excites Crowd By Saying She’d Back Abolition Of The Electoral College [Video],fake
 Anthony Bourdain Reveals The ‘ONE Good Thing’ About Trump And It’s HILARIOUS,fake
#SteveBannon’s Secret “To Do” List Is Accidentally Captured In Photo…Democrat Heads Will Explode When They See This,fake
"In Beijing, Trump presses China on North Korea and trade",real
DISABLED VET WITH CANE FORCED TO WALK To Trump Rally…Pictures Of Supporters Walking 3 Miles After Protesters Shut Down Roads,fake
US-UK DIRTY WAR: ‘Latin American-style’ Death Squads in Iraq Revealed Through Chilcot,fake
COMEDY GENIUS: [Video] “Bob Ross” Paints Sick Hillary…H-I-L-A-R-I-O-U-S!,fake
Factbox: Five facts about ex-Trump security aide Michael Flynn,real
" Black Man Detained By Cops After Withdrawing $200,000 Of HIS OWN Money (VIDEO, IMAGES)",fake
Franco-German fighter jet project likely to be opened to other countries,real
SYRIAN IMMIGRANT Who Said “9-11 Changed The World For Good”…Calls Syria Her “Homeland” Is Homeland Security Advisor,fake
WHY ARE GOOGLE AND FACEBOOK ATTENDING BILDERBERG’S 2015 LUXURY SECRET POLICY CONFERENCE?,fake
BRAIN FREEZE! HILLARY CLINTON Goes Blank…Forgets What She’s Talking About [Video],fake
"REMEMBER WHEN Democrats, Media Mocked Betsy DeVos For Suggesting Schools May Need Guns To Protect Against Bears?…Look What Just Happened!",fake
PRICELESS! Nancy Pelosi Complains Trump Not Visiting Countries in Alphabetical Order [Video],fake
Boiler Room EP #109 – It’s a Wonderfull Life,fake
HILLARY EPICALLY BOMBS PRESS CONFERENCE About Weekends Attacks By Saying All The Wrong Things [VIDEO],fake
Trump Interior nominee would consider more drilling on federal land,real
BREAKING: DEMOCRAT Makes Shocking Statement Regarding DNC Pick Keith Ellison [Video],fake
 Hypocrite Ivanka Gets SKEWERED For Approving Dad’s Move To Kill Obama Pay Equality Rules,fake
TRUMP’S CHOICE FOR ATTORNEY GENERAL Doesn’t Come From The Obama School Of Chicago Thug Justice,fake
Elite Nazi-allied Order From Hungary Claims Trump Adviser Sebastian Gorka Is Sworn Member,fake
WHY OBAMA IGNORED MURDER BY ILLEGAL ALIEN IN SANCTUARY CITY: You Have Never Seen Megyn Kelly This Mad Before!,fake
NY Teacher Gives Assignment To High School Kids: Come Up With Argument In Favor Of Mass Killings Of Jews,fake
BOOM! TOMI LAHREN’S Top Tips For Liberals In 2017 [VIDEO],fake
 Trump SLAMS Canada By Using Example Border State; That State Doesn’t Border Canada (TWEET),fake
"HILLARY’S CAMPAIGN MANAGER STAMMERS When Asked Why Using Trump’s Stolen Tax Returns Are Okay, But Wikileaks Emails Aren’t [VIDEO]",fake
HOW THE FBI Cracked A Terror Plot On Black Friday That May Have Been Worse Than 9-11,fake
BREAKING! INVESTIGATION: Hillary Clinton Did NOT Comply With Records Rules,fake
 NC Governor Robs Disaster Relief Fund To Hire Lawyers To Defend Trans Bathroom Bill,fake
Boiler Room EP #122 – Charlottesville & The History of Violent Cultural Revolution,fake
 WATCH: Anderson Cooper Throws MAJOR Shade At White House Aide Over ‘Fake News’,fake
 MSNBC Host Can’t Help But Be Perfectly Sexist To Hillary Clinton After Her Big Night (TWEET),fake
"Biden, Ukraine's Poroshenko to meet Thursday: White House",real
"Trump foreign policies could hurt, help his business empire",real
 Columbine Shooter Dylan Klebold’s Mother Breaks Silence In Riveting New Interview (VIDEOS),fake
 WATCH: Mike Pence Is Taken To The Woodshed By ABC Host For Defending Trump’s Lies,fake
HOW HILLARY CLINTON Has Secured Her Husband’s Legacy As “A Rapist” And Hers As An “Enabler” [VIDEO],fake
"HEY CHUCK, WE WON! CRYBABY SCHUMER Leads Chant “Dump Trump!” During NYC Protest",fake
 Chris Rock Perfectly ROASTS Lily White Oscars: ‘You’re Damn Right Hollywood Is Racist’ (VIDEO),fake
Mexico foreign minister heads to U.S. to meet with Dreamers,real
Campaign chief to oversee Trump U.S. vice presidential search,real
[VIDEO] SHOCKING CONSEQUENCES OF OPEN IMMIGRATION: Christians Organize To Fight Back Against Islamization Of Britain,fake
 NYC Cop Under Investigation After Being Busted With Instagram Account Full Of Violence (TWEETS),fake
 WATCH: The Amazing Moment That Made Bernie Cry At The Convention,fake
Transport minister doesn't think Britain will leave EU without a deal,real
" Trump Takes Credit For Releasing JFK Files, But The Bill Requiring It Was Passed 25 Years Ago",fake
" Thanks To Trump, Companies Are Pulling Out Of The Republican National Convention",fake
"TAKE A NUMBER, YOU’RE GONNA BE HERE A WHILE…Remember When Barack Promised Number Of Emergency Room Visits Would Decrease With Obamacare?",fake
SPOT ON! TRUMP SUPPORTER Slams New World Of “Guilty Until Proven Innocent” Being Used To Oust Trump [Video],fake
"Hastert loses one Illinois pension, keeps another after sentencing",real
THIS TOPS IT ALL! HILLARY CLINTON Makes Shocking Statement Exposing Her Continued Delusion About 2016 Election Loss [Video],fake
 Joe Biden Told A Joke To President Obama About Ted Cruz That Will Have You On The Floor (VIDEO),fake
" If You Love Veterans So Much, Trump, Why Did You Try To Sweep Them Into The Gutter?",fake
"CAN YOU HEAR HIM NOW? President Trump Doubles Down: Condemns ‘Evil’ KKK, White Supremacists, Neo-Nazis [Video and Transcript]",fake
(VIDEO) DESPERATION? CLINTON CAMPAIGN PANDERS TO RADICAL BLACK GROUPS,fake
"STUDENTS THREATEN YALE PRESIDENT: Give Us $8 Million In Demands To “reduce the intolerable racism,” Or Else",fake
WAS MURDERED 27 YEAR OLD DEMOCRAT Operative About To Blow The Whistle On VOTER FRAUD When He Was Shot In The Back? [VIDEO],fake
“G#d d*mn America”: DISTURBING PHOTOS Illustrate Obama’s “Diplomacy” Failure In Iran,fake
"¡VIVA LA REVOLUTION! As Venezuela Collapses Under Socialist Rule, Dictator Maduro Endorses Fellow Socialist Bernie Sanders",fake
5-Star Mooch and Free-Loading Granny Drop In For Lunch In New York On The Taxpayer’s Dime…,fake
BREAKING: OBAMA APPOINTED JUDGE Demands RNC Reveal Trump’s Plans To Prevent Voter Fraud,fake
SAY WHAT? Obama Gives Go Ahead For New UN “Regional Hub” In Washington DC…What They Plan To Use Center For Is Disturbing,fake
WATCH: Pretty College Age Girl Stun Illegal Alien Supporters At Trump Rally As She Confronts Them,fake
U.S. does not recognize Kurdish independence vote in Iraq: Tillerson,real
NBC CORRESPONDENT Tells Panel Of Extremely BIASED Journalists: “Journalists Aren’t Biased”…Goes On To Totally Trash President Trump With Other BIASED News Hosts [VIDEO],fake
ARMY THREATENS GREEN BERET WAR HERO WITH COURT MARTIAL For Whistleblowing On Failed Hostage Rescue,fake
 WHOA! Donald Trump Is Going To Lose His F*cking Mind When He Sees SNL’s Cold Open (VIDEO),fake
" Trump Lashes Out At Puerto Ricans, Calls Them ‘Ingrates’ In Self-Congratulatory Tweets",fake
 What Ted Cruz Said In Church Sounds Like Sharia Law For America (VIDEO),fake
Ex-U.S. Attorney Yang being considered for SEC chair: source,real
" FBI Releases DAMNING Information About Russian Collusion, Trump TERRIFIED",fake
U.S. judge finds Texas voter ID law was intended to discriminate,real
"Serial Plagiarist Does Victory Dance Over White People Dying, Trump Can’t Save You!",fake
Who’s Better: “Dangerous Donald” or “Crooked Hillary”?,fake
 The Trump Family’s Expressions During Ted Cruz’s RNC Speech Are Priceless,fake
SOCIOPATHIC LIAR HILLARY TELLS RIDICULOUS LIE: Chelsea “Has A PHD In Public Health” [VIDEO],fake
WOW! HERE ARE FOUR LAWS Hillary Clinton Appears To Have Broken [Video],fake
 Trump Plans To Celebrate 100th Day On Office With Another YUUGE Rally No One Will Show Up For,fake
" Trump TRASHES Sean Spicer’s Cell Phone Checks, Signals Trump Team Implosion (VIDEO)",fake
 REPORT: Trump Laughed After Woman Was Grabbed ‘By The P*ssy’ On Apprentice Set,fake
BOOM! KELLYANNE CONWAY Schools CNN’s Anderson Cooper On The Comey Firing [Video],fake
MUST WATCH VIDEO: LISTEN TO OBAMA AND HIS COMMIE MENTOR AND YOU’LL WONDER HOW SOMEONE WHO DISLIKES AMERICA SO MUCH COULD BECOME OUR PRESIDENT,fake
TRUMP COMES OUT SWINGING: New Ad Features One Of Bill’s Rape Victims…With Surprise Ending [VIDEO],fake
 Actor Martin Sheen Tells Senate GOP To Do Their Jobs When Obama Picks SCOTUS Nominee (AUDIO),fake
" Trump Says Hillary’s Emails Are Worse Than Watergate, Watergate Prosecutor SHREDS Him",fake
DID HILLARY Just Lose Her “Get Out Of Jail Free” Card?…Senior Trump Advisor: “Trump Has Not Ruled Out Criminal Probe” Against Hillary,fake
" Desperate Staff Sent Melania To Stop 2-Hour Trump/Putin Meeting, She Failed",fake
LOL! New York Times Publishes Lengthy Article On Dem Senator’s Corruption Trial…Leaves ONE CRITICAL DETAIL Out Of Their Story,fake
NOT FUNNY! What These “MORONS” Did For Crooked Hillary Should FRIGHTEN Every American [VIDEO],fake
BRAVO! POPULIST REPUBLICANS Target Out Of Control LEGAL Immigration Like The Ridiculous “Diversity Lottery”,fake
Greece and Turkey trade barbs as Erdogan visits Athens,real
Canada’s Immigration Website Crashes After Trump Pulls Ahead,fake
 WATCH: Lewis Black Hilariously BURNS Trump And Mocks Inauguration On The Daily Show,fake
 Tiffany Trump Is Sad As Hell After Whole Family Completely Forgot Her Birthday,fake
 Donald Trump Storms Glenn Beck’s Ted Cruz Rally Live On-Air And Shuts It Down (VIDEO/TWEETS),fake
"SMOKING GUN? First FISA Request on Trump Tower Came After Bill Clinton, Obama’s AG Loretta Lynch Had Private Meeting On Plane",fake
LIBERAL DUMMY GARY JOHNSON Can’t Name One Foreign Leader [VIDEO],fake
[VIDEO] WHAT JERRY SEINFELD HAS TO SAY ABOUT OVERLY PC COLLEGE KIDS WILL MAKE THE LEFT CRAZY,fake
Hillary Supporter MARK CUBAN Makes Most Ignorant Statement About Trump Since Election When He Claimed Stock Market Would Tank [VIDEO],fake
ILLINOIS: ENTIRE TEAM OF 8-Yr Old Kids Perform Disgusting Act of Disrespect For Our Flag and Law Enforcement Under Guidance Of Coach,fake
"Shaquille O’Neal: “The Earth is flat. Yes, it is.”",fake
DON’T TAKE YOUR KIDS TO New Orleans To Learn About American History…Black Lives Matter Just ERASED It,fake
"BEYOND MISSION CREEP: U.S. Planning to Send 1,000 More Ground Troops into Syria",fake
 WATCH: River Set On Fire Thanks To Fracking,fake
" Dan Rather Responds To Trump’s Sex Tape Allegations, Visibly DISGUSTED In Interview (VIDEO)",fake
(VIDEO) MICHELLE OBAMA’S LATEST TACKY AD FOR KIDS: “EAT YOUR “EFFEN” VEGETABLES!”,fake
BOYCOTT BACKFIRES! Ivanka Trump Clothing Line Reports Record Sales,fake
"OBAMA BLAMES RUSSIA For Hillary’s Loss, But NEW HARVARD STUDY Exposes Who REALLY Interfered In Outcome Of Our Elections",fake
NEW BOMBSHELL REPORT Shows DNC Emails Were Copied On East Coast ONLY 5 DAYS Before SETH RICH Murder…Disproves Russian Hacking Theory,fake
Al Qaeda warns Myanmar of 'punishment' over Rohingya,real
WAS MICHELLE OBAMA In On Beyonce’s Cop-Hating Super Bowl Performance? [Video],fake
 Hillary Beautifully Slams Trump’s ‘Dangerous’ And Idiotic Gun Policies,fake
A FEW BLACK CONSERVATIVES Have Some Choice Words For Obama And Hillary Following Dallas Black Lives Matter Cop Massacre,fake
LOUDMOUTH ROSIE O’DONNELL Just Bullied The Wrong Trump: OUTRAGED Melania Threatens Lawsuit After Rosie Pushes False Video On Twitter About 10 Yr Old Barron,fake
"MI BOARD OF EDUCATION Will Allow Students To Choose Gender, Bathroom, Locker Room And Even A New Name With No Parental Consent",fake
HERE’S WHY OLE MISS Won’t Be Playing “DIXIE” Before Football Games This Year…There Goes Another SOUTHERN Tradition…,fake
 WATCH: Fox News Host Dana Perino Is DONE Defending Republicans,fake
INSIDE TRUMP’S CHARITY BALL Tonight At Beautiful Mar-A-Lago…Protests Outside [Video],fake
“YOU’RE HIRED!” Trump Pulls Unemployed Vet From Audience And Hires Her On The Spot,fake
DISRESPECTFUL DEMS EXPOSED! You’ll Never Guess Who Also Boycotted George W. Bush’s Inauguration [VIDEO],fake
Limousine Liberal Leo DeCaprio Joins Globalist John Kerry: Climate Deniers Like Trump Shouldn’t Hold Office [Video],fake
"Warren, Kaine, Castro on Clinton running-mate short list: AP",real
China hopes all sides' words and actions reduce tension on Korean peninsula,real
WATCH: BLACK LIVES MATTER Bernie Sanders Supporters SPIT On U.S. Flag In Front Of Vets At Trump Rally,fake
 Tennessee Republican Leader Vows Punishing Tax Hike On Companies That Support LGBT Rights,fake
GOP EVIDENCE: Comey FBI Busted Giving Clinton ‘Special Status’…Those Responsible STILL At FBI! [Video],fake
Highlights: The Trump presidency on April 21 at 6:12 p.m. EDT/2212 GMT,real
 Maine’s Governor Somehow Gets More Racist: I Can’t Understand Indian People Without Interpreter,fake
 Trump Just Got Caught Trying To Blackmail Morning Joe Hosts,fake
THE PEOPLE’S PRESIDENT: Trump Meets With Coal Workers To Fulfill Campaign Promise [Video],fake
UNREAL! FORMER GITMO DETAINEES PROTEST AT U.S. EMBASSY FOR FREEBIES FROM THE U.S.,fake
BADASS ISRAELI Stabbed By Palestinian…Pulls Knife From Neck…What He Did Next Is STUNNING!,fake
 Leave It To Seth Meyers To Absolutely PUMMEL Trump’s Obvious Racism And Fraud (VIDEO),fake
 WATCH: George W. Bush Calls Out Trump For Supporting White Supremacy,fake
NEW STUDY Shows Why Atheists and People Who Agree With Immigrants That Bash Their Country Use LESS BRAIN POWER,fake
WHY AG LYNCH Should Recuse Herself From Clinton E-mail Probe ASAP! [Video],fake
U.N. medics see evidence of rape in Myanmar army 'cleansing' campaign,real
Undocumented immigrants given roles at Democratic convention,real
"Ammon and Ryan Bundy Found ‘Not Guilty’ in Oregon Federal Case, Gov. Kate Brown Upset by Jury Decision",fake
CHILLING: How America Looks After 8 Long Years With An Anti-American President,fake
"Possible Thales, Leonardo role in Franco-Italian ship talks: sources",real
COLIN POWELL SAYS HILLARY LYING About Private Email Server Conversation: “has no recollection of the dinner conversation” [VIDEO],fake
LEADING N. CAROLINA NEWSPAPER: Girls Need To Attempt “Overcoming Discomfort” At Sight Of “Male Genitalia” In Locker Rooms,fake
BREAKING NEWS: TRUMP ADMIN ANNOUNCES “MASSIVE TAX CUT” For Businesses And Massive Tax Reform [VIDEO],fake
" NBA Kowtows To Racists, Orders Players To Stand For Anthem",fake
Anti-Trump Protester’s X-Rated Comment Angers MSNBC Anchor: “Grow The Hell Up!”,fake
 Superdelegate Tammy Baldwin: ‘I’m Still A Human’ (VIDEO),fake
" WATCH: Morning Joe Host Tells Kellyanne Conway To Go F*ck Herself, BANS Her From Show",fake
VIDEO: Top 10 Most Embarrassing Presidential Family Members,fake
CNN INTERVIEW TURNS INTO SCREAMING MATCH When Activist Director Argues New “IRRELEVANT” Footage Of Michael Brown Is Game Changer [VIDEO],fake
"LOL! KEURIG CEO APOLOGIZES After Customers Boycott and SMASH Coffee Makers…Unfortunately, The Apology Isn’t For Keurig Customers",fake
YOU’RE HIRED! HOW THIS BRILLIANT Surgeon Will Destroy Obama’s Legacy [VIDEO],fake
THIS Is How Far The Left Will Go To Protect Hillary Clinton…Sick!,fake
 GOP Lawmaker Blames Obama For Staging Racist Mayhem In Charlottesville,fake
 Controversial Former Fox CEO Roger Ailes Dead At 77,fake
 Fox News Humiliates Mitt Romney For Flip-Flopping On Donald Trump (VIDEO),fake
"NORWAY’S TOUGH Immigration Minister BLASTS Sweden, WARNS Refugees: “If You Are An Economic Migrant” or an “Illegal Immigrant” You’ll Be Sent Home",fake
 Fox News And Sean Hannity Basically Just Ran A TV Promo For White Pride (VIDEO),fake
ETHIOPIAN MUSLIM Monster Deported From U.S. 10 Years After Performing “Clitorectomy” On Daughter With Scissors,fake
GOP HOUSE LEADERSHIP Place Political Careers Before National Security: Why They Are Reportedly Caving (Again) To Democrats,fake
 WATCH: Sean Spicer In December STRONGLY Opposed Exactly What He Did Today,fake
 Bill Clinton Reminds People Of Hillary’s LONG History Of Getting Things Done (VIDEO),fake
Boiler Room EP #82 – Mind-boggling Collusion,fake
" Caitlyn Jenner Slams Trump, Considers Running for Office",fake
"Trump will accept election results if it's fair, his son says",real
" Curt Schilling Doubles Down On Transgender Hate On Facebook, Adds Racism (IMAGE)",fake
Mexico says won't pay for Trump's 'terrible' border wall,real
U.S. House panel to begin hearings on tax reform next week,real
Reflections on a World Gone Mad and Pushing Back against Neocolonialist Thuggery,fake
 Elizabeth Warren BURIES Trump After He Throws Temper Tantrum Over Her Attacks,fake
Tyranny Of 9/11: The Building Blocks Of The American Police State From A-Z,fake
Clinton names Obama veterans to White House transition team,real
Democrat Gillibrand opposes Trump's Supreme Court nominee,real
 ‘Lunch Shaming’: Schools Punish Poor Kids Who Can’t Pay For Lunch With Appalling Humiliation (VIDEO),fake
“Peaceful” Muslims Scream: “THIS IS FOR ALLAH” After Driving Van 50 MPH Pedestrians…3 ARMED Terrorists On Run In Gun-Free London…Britain’s PM Calls It “Potential Act Of Terror” [VIDEO],fake
AMERICAN-MADE CONFEDERATE FLAG FACTORY Sees A Huge Change In Sales After Charlottesville,fake
New Orleans “Club” Advertises “Meet And Greet” For Dem Gov Candidate: FREE Drinks And “Performers” And Party Bus To Polls For “Early Voters” [VIDEOS],fake
 Trump Displays Incredible Ignorance Yet Again — Claims Credit For Term Coined Over A Hundred Years Ago,fake
 GOP Operative Connected To Trump’s Ousted Top Adviser Tried Obtaining Russian-Hacked Clinton Emails,fake
HOLLYWOOD BLVD: PRO-TRUMP #Oscar Rally Gets Ugly When Punches Start Flying…Trump Hating Female Picks On WRONG Woman! [VIDEO],fake
 Glenn Beck Anchor In Race Attack On Beyoncé For Super Bowl Show (VIDEO),fake
"U.N. says fighting stops in Sanaa, Saleh funeral expected",real
China complains to Australia over Turnbull comments on interference,real
"Trump team wants more NAFTA access for U.S. goods, services: lawmakers",real
" Newt Gingrich Attempted To Stiff Small Businesses, FEC Shot Him Down",fake
 Moms With Transgender Kids Have A BRILLIANT Message For Anti-LGBT Conservatives (VIDEO),fake
BILL O’REILLY ANNOUNCES 2 Week Vacation…Will Murdoch’s Liberal Son Who Pushed To Fire Roger Ailes Make His Vacation Permanent? [VIDEO],fake
BARACK OBAMA GOES THERE…Compares President Trump To Hitler In Front Of Chicago Audience,fake
‘I Learned That In 8th Grade!’ – Sarah Sanders Schools Liberal Reporter On #DACA [Video],fake
Democratic senator tussles with U.S. Treasury secretary over communication,real
Proposed Budget Deal Is MUCH WORSE On U.S. Border Security Than We Originally Thought,fake
" South Park Creators GIVE UP, Say Donald Trump Is Too Stupid For Their Show To Mock (VIDEO)",fake
NATIONAL ENQUIRER ENDORSED TRUMP…Then Dropped YUGE Bombshell: “CRUZ’S 5 SECRET MISTRESSES”,fake
China says opposes unilateral sanctions after new U.S. curbs target North Korea,real
 DHS Officials Tried To Stop Trump’s Unlawful Muslim Ban — Steve Bannon Overruled Them,fake
DECLASSIFIED US INTEL REPORT Used To Discredit Trump Is Huge Embarrassment…Evidence Was Compiled In 2012 After OBAMA’S Reelection,fake
"CRAZED PROTESTERS Pull Down Confederate Statue in Durham…What’s Next, The Guillotines? [VIDEO]",fake
 History Teacher Forces Students To Watch Film Depicting Violent Crucifixion Of Jesus (VIDEO),fake
"Obama, Fed's Yellen discussed economic risks in White House meeting",real
 Why This Attorney General Is Going After Trump For ‘Fraud’,fake
Trump Waves Texas Flag: ‘Texas Can Handle Anything’ [Video],fake
 Watch NBC’s Andrea Mitchell Get BULLIED Out Of The State Dept. For Asking About Russia (VIDEO),fake
 Inaugural Cake Baker Brilliantly Schools Anti-Gay Bakers In How Protest Is Done,fake
 WATCH: Hilarious Leaked Video Shows Australian PM Mocking Trump And It’s Now The Best Thing On The Internet,fake
" Skip The Flowers, Just Don’t Vote For Trump, Asks PA Man’s Obituary",fake
Sen. McConnell says expects Puerto Rico funding request by mid-October,real
 Evan McMullin: ‘Never In His Life’ Has Trump Had To Watch His Mouth (VIDEO),fake
 Paul Ryan Attacks President Obama For Being ‘Distracted’ By Murdered Children,fake
White House continues to cooperate with special counsel -official,real
 Seahawks’ Richard Sherman DROPS THE MIC On Those Who Ignore Police Brutality (VIDEO),fake
NORDSTROM CANCELS IVANKA TRUMP BRAND After Liberal Complaints #BoycottNordstrom,fake
Senate Ethics Committee opens probe of Senator Franken,real
"Washington braces for anti-Trump protests, New Yorkers march",real
 Biographer Says Trump Might Not Actually Be A Billionaire: ‘He Just Makes It Up’ (VIDEO),fake
Senator Jeff Sessions to endorse Trump White House bid: Drudge Report,real
TRUMP HITS BACK After Cowgirl Congresswoman Trashes Him Over Words Said to Grieving Widow,fake
 Trump Finally Admitted Something He Really Hasn’t Done His Whole Campaign (TWEET),fake
JUST IN: DALLAS COWBOYS OWNER Jerry Jones Is Leading Effort To Oust NFL Commissioner Roger Goodell,fake
GREAT VIDEO! CLIMATOLOGIST WEIGHS IN ON THE TRUTH ABOUT CLIMATE CHANGE,fake
WHY WAS THIS YOUNG MAN SPONSORED BY CAIR INVITED TO THE WHITE HOUSE,fake
Watch as Trump Gatecrashes Glenn Beck’s Cruz Caucus Event in Nevada,fake
Hillary Clinton Is Asked The Difference Between A Socialist and A Democrat [Video],fake
 Twitter Destroys Trump For Using Dwyane Wade’s Personal Tragedy To Pander For Black Votes,fake
IF HILLARY AND BERNIE Are Counting On The Cuban Vote…They’re Making A BIG Mistake…Here’s Why…,fake
Kellyanne Conway SHUTS DOWN ABC News Hack George Stephanopoulos After He Tries To Convince Viewers Trump Isn’t Legitimate President [VIDEO],fake
Obama scolds Senate Republicans for Supreme Court threat,real
OBAMA TO VISIT MOSQUE WHERE RADICAL IMAM Condones Suicide Bombings…Even MORE Unbelievable Is List Of Muslims Who Committed Horrific Acts Of Terror Against Americans Who Prayed There,fake
 Bill O’Reilly DESTROYS Donald Trump In A Rant That Shakes Fox News (VIDEO),fake
HILLARY EXPOSED: WATCH UNCOVERED VIDEO The Hillary Campaign Does NOT Want You To See,fake
 Ben & Jerry Tell Us Why Pulling Out Of Paris Climate Deal Was The Right Move,fake
Trump and Putin see eye to eye on many foreign policy aims: Foreign Minister,real
U.S. Commerce nominee Ross calls China 'most protectionist' country,real
 Former Classmate: Trump Smacked His Son So Hard It Knocked ‘Him To The Floor’,fake
 WATCH: Joy Reid Shuts Down Right-Wing Pastor For Lying In Defense Of Racist Trump,fake
SHOCKER! CLINTON CAMPAIGN MANAGER Gets Grilled By CNN’s Jake Tapper: “She hasn’t been cooperative” [Video],fake
 Twitter Mocks The Hell Out Of Trump For Latest Poorly-Spelled Screed Against Obama (TWEETS),fake
Trump slams federal court ruling on funding for 'sanctuary cities',real
" Did Ron Paul Just Confuse Al-Qaeda With ISIS, Or Does He Simply Not Know The Difference? (TWEETS)",fake
NOT KIDDING! Serial Liar Brian Williams Blames “FAKE NEWS” For Hillary’s Loss On MSNBC Last Night [VIDEO],fake
"Trump, Liberal Hypocrisy & Humanity’s Future",fake
JIM BEAM Fans Call For Boycott After Spokesperson and Liberal Actress Brags About Taunting VP Mike Pence For Defending Life,fake
 Trump ‘Really Likes’ The Idea Of A Violent Uprising When He’s Impeached,fake
Kerry’s Lunacy: ‘US Would Be Justified Shooting Down Unarmed Russian Jets’,fake
FLASHBACK To 2014 WaPo Headline: “Obama Should Fire John Brennan” For Lying…Only One Year After James Clapper Was Caught Lying Under Oath,fake
GREEN PARTY DOLT Struggles To Explain Wisconsin Election Recount [Video],fake
