article,truthfulness
U.S. mulls request by lawmakers to waive shipping limits on Puerto Rico,real
"Turkey, Iran, Iraq may meet to discuss Kurdish Iraqi referendum: Turkey PM",real
Russia's Putin congratulates Trump on election win,real
Governor extends Flint water emergency as state approves funds,real
Trump says picks Mulvaney to be White House budget director,real
 GOP Rep. Just Achieved The IMPOSSIBLE By Outdoing Trump’s Hypocrisy On February Jobs Report,fake
RED FLAG IN CLINTON’S FBI INTERVIEW Shocks Former Prosecutor Andrew McCarthy,fake
Jordan sentences Syrian militant to death over border attack,real
Ohio governor signs bill legalizing medical marijuana,real
Britain must be clearer on Brexit divorce bill: Dutch PM,real
 It’s Mueller Time!: Russia Probe Just Got Worse For Trump And It’s Going To Hurt,fake
"Friendly no more: Trump, Cruz erupt in bitter fight at Republican debate",real
"U.S. expels 15 Cuban diplomats, fuelling tensions with Havana",real
House budget chief expects budget resolution approval in October 5 vote,real
Watchdog presses U.S. lawmakers to probe Icahn's role with Trump,real
Trump believes Roy Moore should step aside if allegations are true -White House,real
Trump moving U.S. toward era of bilateral trade: White House,real
Lithuania gets minority government as junior partner leaves,real
Trump says Iran complying with nuclear deal but remains dangerous threat,real
Putin to meet Erdogan in Ankara on Sept 28: Kremlin,real
Who’s Better: “Dangerous Donald” or “Crooked Hillary”?,fake
" Mothers Of The Movement Bring DNC To Tears, So Right-Wing Racists Come Out In Droves (VIDEO)",fake
Trump health pick favors insurance for people with prior illness,real
Trump to meet Latin American leaders with eye on Venezuela,real
"The Final Control: TPP, TTIP, TISA Global Corporate Takeover",fake
Factbox: Points of contention in talks on German coalition,real
Trump says his travel ban needed to ensure U.S. religious freedom,real
Senate's McConnell says tax bill should be revenue neutral,real
Unlikely allies eye vote to legalize cannabis in New Zealand,real
Ex-U.S. Attorney Yang being considered for SEC chair: source,real
Boeing says current Air Force One contract worth $170 million,real
Obama defends record on terrorism in national security speech,real
Arab rivalries exposed as Egypt targets Qatar in UNESCO vote,real
"Beating rivals and the odds, Trump captures Republican nomination",real
Some Republicans see attacking Obamacare through regulation,real
Lesotho detains army major over killing of military leader,real
Trump populism comes to Canada as Conservatives seek leader,real
"Zimbabwe's top general ready ""to step in"" to end purge of ousted VP supporters",real
Germany could award contract for new spy satellites this month: RND news group,real
U.S. adjusts military support to partners in Syria: White House,real
Trump open to Dreamers relief legislation without wall funding -aide,real
Wilbur Ross sworn in as secretary of commerce,real
Zimbabwe court postpones U.S. citizen's subversion case to January,real
U.N. chief says no communication with North Korea is dangerous,real
Illinois governor reports $188.1 million in 2015 personal income,real
Trump garners two more endorsements in U.S. Congress,real
U.S. military says conducted air strike against ISIS in Somalia,real
U.S. officials step up rhetoric on Russia link to email hacks,real
BRAVO! POPULIST REPUBLICANS Target Out Of Control LEGAL Immigration Like The Ridiculous “Diversity Lottery”,fake
Paraguay senator with dictatorship ties to run for president,real
MARK STEYN ON CNN EXTORTION: Wolf Blitzer Has Put A Horse’s Head In Some Guy’s Bed,fake
WATCH: ARROGANT Sexual Predator and Sometimes “Comedian” Louis C.K. Tells Stephen Colbert “Donald Trump Is An Insane Bigot and Hitler”,fake
Peru opposition-ruled Congress approves Kuczynski's new cabinet,real
"Bloomberg opts out of U.S. presidential bid, calls for centrism",real
"Trump needs to accept waterboarding is prohibited torture, U.N. specialist says",real
NOT KIDDING! Serial Liar Brian Williams Blames “FAKE NEWS” For Hillary’s Loss On MSNBC Last Night [VIDEO],fake
"#LockHimUp Former Oversight Chair Jason Chaffetz: If Comey’s Leaked Memos Contained Classified Information, He Should Have Handcuffs On And Go To Jail",fake
Trump discusses immigration ideas in dinner with Republican lawmakers,real
Brazil's Temer faces new graft charges over JBS testimony,real
"Yahoo under scrutiny after latest hack, Verizon seeks new deal terms",real
Saudi Arabia arrests 46 for stirring divisions: state media,real
New York attorney general says will sue over Obamacare repeal,real
May heads for Brussels as last-minute Brexit talks go on,real
Somalia rebukes its states for breaking with Qatar,real
Tillerson cites Russian inaction as helping to fuel Syrian poison gas attack,real
 Ohio Fireman In Deep Sh*t For HORRIBLE Remarks About Saving ‘N*****s’,fake
 Sarah Palin: My Husband Nearly Dying Made Me Realize How Important It Was To Elect Trump (VIDEO),fake
"WELL, DUH! Transgender Wins International Women’s Weightlifting Title",fake
Top U.S. Senate Democrat holds out hope for Obamacare subsidies,real
FBI opens investigation into South Africa's Guptas: FT,real
Republicans have finalized compromise U.S. tax bill -chief House tax writer,real
"Juncker wants EU finance minister, no separate euro budget or parliament",real
Thai king's remains laid to rest at end of five-day ceremony,real
BREAKING! INVESTIGATION: Hillary Clinton Did NOT Comply With Records Rules,fake
"UK government, including Johnson, united behind May's Brexit plan: spokeswoman",real
Indonesia parliament speaker taken into custody by anti-graft agency,real
Trump says he and China's Xi to try to end opioid crisis,real
DECLASSIFIED US INTEL REPORT Used To Discredit Trump Is Huge Embarrassment…Evidence Was Compiled In 2012 After OBAMA’S Reelection,fake
White House: Michelle Obama to join husband on trip to Britain,real
China says opposes unilateral sanctions after new U.S. curbs target North Korea,real
"Medical providers oppose Trump-backed health plan, Democrats take aim",real
Kellyanne Conway's husband says Trump tweets hurting legal case,real
FOOTBALL LEGEND JIM KELLY: “Donald Trump took care of my whole family” during cancer scare [Video],fake
Britain says expects most EU citizens can stay after Brexit,real
Mattis praises Philippine army on winning fight in Marawi without rights abuse,real
Brexit deal guarantees no hard border in Ireland: Irish foreign minister,real
Lockheed Martin wins $743 million U.S. defense contract: Pentagon,real
Trump criticizes GM for Mexico investments,real
Britain's Johnson says no need for gloom about Trump victory,real
 ‘Maury’ Show Official Facebook Posts F*CKED UP Caption On Guest That Looks Like Ted Cruz (IMAGE),fake
"Trump says travel ban should be 'larger, tougher and more specific'",real
Senate diverges over renewal of internet spying law,real
DRAIN OBAMA’S RADICAL SWAMP! Rep Chaffetz Calls Out OBAMA APPOINTED Fed Gov Ethics Director Over UNETHICAL Public Criticisms Of Trump,fake
Brazil captures most wanted arms trafficker in Paraguay,real
State Department official 'pressured' FBI to declassify Clinton email: FBI documents,real
"BOOM! TED CRUZ, DESANTIS PUSH For Term Limits: “It is well past time to put an end to the cronyism and deceit…”",fake
" Trump Explains Why He Fired James Comey, F*cks Up And Admits He Should Be Impeached (VIDEO)",fake
U.S. Attorney General Sessions to hold a news conference on Thursday,real
 Foreign Governments Have Been Giving Elections To Republicans For Decades,fake
Spanish lender Sabadell to transfer legal base to Alicante - spokeswoman,real
North Korea not ready to meet with South Korea in Russia: agencies,real
Senate committee issues subpoena for Manafort: statement,real
U.S. FCC chief unveils plan to scrap Obama-era internet rules,real
House Armed Services chairman: Trump budget not enough for U.S. military,real
Phoenix mayor calls on Trump to postpone rally planned for next week,real
Opponents of Saudi 9/11 bill keep up fight ahead of veto override vote,real
Trump says discussed forming cyber security unit with Putin,real
"MSNBC host leaving the Republican party, becoming an independent",real
Ex-president George H.W. Bush moved to intensive care; wife hospitalized,real
JESSE WATTERS Takes On Young Anti-Trump Protesters: “He said that black people are ignorant” [Video],fake
Turkey's Erdogan presses world leaders to help Myanmar's Rohingya,real
Danish minister republishes controversial Prophet cartoon on Facebook,real
"McCain says 'no information' Russia sought to influence election, probe needed",real
Man with Palestinian flag smashes Jewish restaurant windows in Dutch capital,real
" BREAKING: Shooter Targets Congressional Republicans At Baseball Practice, Steve Scalise Shot",fake
TRIGGERED! FORMER CIA AGENT: ‘Trey Gowdy Ought to Have His A** Kicked’ [Video],fake
Foreign minister warns UK cannot become 'vassal state' of EU,real
Russia's foreign minister discussed Syria with his Turkish counterpart,real
U.N. vote a resounding global 'No' to U.S. intimidation: Iran's Zarif tweets,real
Merkel wants progress in coalition talks in 10 days,real
PUTIN ACCUSES U.S. Of Leaking Flight Path Of Russian Plane Shot Down By Turkey…Turkey Buying ISIS Oil,fake
South Korea confirms traces of radioactive gas from North Korea's nuclear test,real
Clinton names Obama veterans to White House transition team,real
"For Chinese officials, Trump perhaps better the devil they don't know",real
"In circuitous speech, Trump touts VP pick Pence as man to unify party",real
Clinton need not give sworn testimony over emails: U.S. judge,real
"Trump 'not thrilled' with debate dates, Clinton vows 'to be there'",real
German official warns U.S. not to use sanctions for industrial policy,real
"About 100,000 Kurds have fled Kirkuk since Monday: Kurdish officials",real
Norway government to rule in minority after centrists abandon talks,real
Trump drops plan to create infrastructure council: White House,real
Russia spurns U.S. allegations it violates nuclear arms pact,real
"Trump discussed free trade pact with Japan's Abe, U.S. envoy says",real
Labor nominee Puzder's company wins discrimination trial delay as confirmation looms,real
Iraq's Abadi accepts Macron invitation to come to discuss Kurds: Elysee source,real
Obama signs into law opioid addiction bill to protect newborns,real
Australian police say car that hit pedestrians in Melbourne was a deliberate act,real
Europe rights watchdog says Turkey's emergency laws go too far,real
U.S. sanctuary cities weigh response to Trump's threat to curb funding,real
FLASHBACK To 2014 WaPo Headline: “Obama Should Fire John Brennan” For Lying…Only One Year After James Clapper Was Caught Lying Under Oath,fake
Trump says violence by anti-fascists proves him right on Charlottesville,real
Woman arrested trying to scale gates of UK's Buckingham Palace,real
Iran names nuclear negotiating team member jailed for spying,real
Justice Department names new acting head of drug enforcement agency,real
"New Cyprus talks must offer clarity to Turk Cypriots, official says",real
Two Danish journalists wounded in Islamist knife attack in Gabon,real
U.S. to push ahead on climate pact before Trump takes over: Kerry,real
U.S. backs out of Latam development fund in sign of policy shift,real
"In Beijing, Trump presses China on North Korea and trade",real
 Intel Committee Member: ‘Innocent People Don’t Ask For Immunity’ (VIDEO),fake
House Democrats rally to protect Special Counsel Mueller,real
" Trump Put Himself In Deep Sh*t, Personally Drafted Statement Lying About Jr’s Russia Meeting",fake
Iranian military chief visits frontline near Aleppo,real
Draining the swamp: Hard-hit Everglades town mops up after Irma,real
"Chinese state tabloid warns Trump, end one China policy and China will take revenge",real
Israel says it foiled planned ISIS-inspired attack at Jerusalem holy site,real
House Speaker Ryan says contested Republican convention more likely,real
 Poll Shows Growing Number Of Republicans Don’t Think Trump Is The Best Option For The GOP,fake
Trump wants to make sure U.S. nuclear arsenal at 'top of the pack',real
 Elijah Cummings Made Sure The GOP Is Well Aware They’re Hypocritical A**holes Regarding Flint,fake
Sanders to Trump: use defense contracts as leverage for Carrier jobs,real
House backs massive increase in defense spending,real
"In Athens, Macron to urge renewal of EU democracy",real
"Chile's foreign minister: TPP not dead, despite Trump comments",real
Indonesia to reopen Bali airport after closure due to volcano,real
"Trump spoke with U.N. secretary general, met with union reps",real
Ukraine agrees to sign EU summit declaration: officials,real
South Africa's Ramaphosa steps up criticism ahead of ANC leadership vote,real
"Trump expected to decertify Iran nuclear deal, official says",real
Colombia urgently crafting law to allow crime gangs to surrender,real
 BOMBSHELL: Devin Nunes’ Entire Net Worth Sunk In Company With Strong Ties To Russia,fake
Russian long-range bombers strike Islamic State targets in Syria,real
[VIDEO] CARLY TAKES ON THE VIEW Hacks Only Days After Saying She Has A “Demented Face” And A “Halloween Mask”,fake
Saudi Arabia condemns Trump decision to recognize Jerusalem as capital of Israel,real
FBI fear of leaks drove decision on emails linked to Clinton: sources,real
"In court first, Swede jailed for rape of children online",real
Lebanon's Aoun says PM Hariri's freedom restricted in Riyadh,real
"Hariri warns Lebanon faces Arab sanctions risk, to return in days",real
Trump says may tie infrastructure with healthcare or tax reform: NY Times,real
Congo sets presidential election for December 2018,real
Togo forces fire tear gas to disperse anti-government sit-in,real
"Tillerson to discuss North Korea crisis, trade in China",real
Trump says never asked Comey to stop investigating Flynn,real
Trump to receive first security briefing: sources,real
Trump threat to run as independent counterproductive: party chief,real
LOCAL REPORTER IN DEEP BLUE STATE Stuns Liberals When He Goes Rogue…Tells Truth About Guns [VIDEO],fake
"Obama meets with national security team on Syria, Islamic State",real
Russia's Lavrov: little difference between policies of Trump and Obama - RIA,real
Mexico says won't pay for Trump's 'terrible' border wall,real
"PM May's deputy to keep job after pornography claims, ITV says",real
China's probes of rights lawyers 'alarming': Human Rights Watch,real
"FBI, Secret Service probe letter sent to Trump's sister: NBC",real
Obama says U.S. special relationship with Britain will endure,real
ADVISORY: Story on Kushner visiting Iraq withdrawn,real
ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video],fake
ILLINOIS: ENTIRE TEAM OF 8-Yr Old Kids Perform Disgusting Act of Disrespect For Our Flag and Law Enforcement Under Guidance Of Coach,fake
"Mediterranean ""by far world's deadliest border"" for migrants: IOM",real
"Malay woman to be Singapore president, puts minority representation on agenda",real
Michigan governor expects no charges over Flint crisis: newspaper,real
"Philippine anti-narcotics chief warns of drugs war slowdown, police target assassins",real
Kurdistan region refuses to hand over border crossings to Iraqi government: Rudaw,real
Justice Department will not file immediate stay against Seattle immigration ruling,real
Trump DACA decision followed months of meetings involving senior Democrat,real
Erdogan says U.S. can't buy Turkish support on Jerusalem,real
Cambodian PM pulls back on threat to shut rights group founded by rival,real
" According To The New White House Chief Strategist, Liberal Women Are Just ‘A Bunch Of Dykes’",fake
Congress passes funding bill averting government shutdown,real
Iran tests new missile after U.S. criticizes arms program,real
House Freedom Caucus chief calls for U.S. tax reform plan by end-July,real
"Trump celebrates first 100 days as president, blasts media",real
DNA tests on Dali's body refute woman's paternity claim,real
Indian tycoon Mallya appears in UK court on new money-laundering accusations,real
"EU must be part of U.S. Middle East peace push, Ireland says",real
Trans-Atlantic data talks targeted by U.S. Republicans at 11th hour,real
"Senators question Kaleo' $4,500 tag on opioid overdose treatment",real
Graft probe into Mexico president's ally poses tricky challenge ahead of elections,real
"NSA chief, intelligence director won't comment on Trump conversations",real
"In Alabama's Senate race, contenders fight over who is Trump's biggest fan",real
Indonesia demands answers after military chief denied U.S. entry,real
Democrat Gillibrand opposes Trump's Supreme Court nominee,real
U.S. Senate moves Jeff Sessions toward confirmation as attorney general,real
Henningsen: Obama White House Colluded with Facebook to Fabricate ‘Russian Bot’ Conspiracy,fake
Comoros lawmaker leading citizenship inquiry attacked,real
Hurricane Irma worsens Latin America's fuel supply crunch,real
"Tillerson: Trump did not discuss 'sources, methods' in meeting with Russia's Lavrov",real
Second day of jury deliberation for Turkish banker ends with no verdict,real
 Watch Hillary’s Reaction When Security Tries To Kick Shirtless Male Supporters Out Of Her Rally,fake
Republican tax code revamp hits House budget obstacle,real
White House says making 'a lot of progress' on tax reform,real
Russia blocks bid to briefly extend Syria chemical weapons inquiry,real
Republicans plan healthcare vote; Obama and TV host denounce bill,real
Japan weighs plans to deal with North Korean evacuees in case of crisis,real
Russia to limit U.S. military observation flights: RIA,real
U.S. will circulate resolution on North Korea this week,real
Obama suggests U.S. embassy move to Jerusalem could be 'explosive',real
Qatar emir says open to dialogue to resolve Gulf crisis,real
Protesters call for justice after Maltese journalist's killing,real
"German killer nurse suspected of 84 more murders, police say",real
Rationale for U.S.-EU trade deal still strong after Brexit vote: USTR,real
Tillerson says working to bring stability to Russia ties,real
Pakistan official details car chase that freed kidnapped U.S.-Canadian family,real
WATCH: THINGS GOT REALLY AWKWARD When NBC Sent Hoda Over To Help Spike Megyn Kelly’s Miserable Ratings,fake
Zimbabwe's state mouthpiece captures fall of First Lady Grace,real
Cavani strikes back with four goals as PSG sink Caen,real
"Czech parliament picks speaker, opens way for new prime minister",real
Jailed British-Iranian charity worker received letter from ex-UK PM Cameron: prosecutor,real
U.S. does not recognize Kurdish independence vote in Iraq: Tillerson,real
Trump EPA lags behind in environmental enforcement: report,real
Canadian pastor escaped execution due to foreign citizenship: CBC,real
U.S. sees business as usual at ports of entry when travel ban starts,real
Undocumented immigrants given roles at Democratic convention,real
"Trump, Liberal Hypocrisy & Humanity’s Future",fake
Czech foreign minister lightly injured in car accident: ministry,real
U.S. farm heartland lobbies to steer Trump away from Mexico trade war,real
Venezuela Maduro warns of repeat elections in states won by opposition,real
"No breakthrough in Supreme Court dispute between Obama, Republicans",real
Mexico says president Pena Nieto to meet Trump on Wednesday,real
"U.S. government watchdog to review Mar-a-Lago trips, Trump hotel profits",real
Tillerson stresses diplomacy on North Korea amid threats: ABC,real
May's government pushes Brexit bill to avoid 'chaotic' departure,real
New Hampshire governor asks Trump to stop Indonesian deportation effort,real
Lack of clear UK stance making Brexit talks tough: French PM,real
White House adviser Rhodes to meet with Cuban Americans in Miami next week,real
"Turkey wants Iraq's Kurdish region to drop referendum, avoid sanctions",real
EPA watchdog expands audit of administrator's travel: memo,real
Michigan governor's aides urged switch away from Flint River,real
White House weeks away from naming anyone to Fed: official,real
Factbox: Key issues in the NAFTA renegotiations,real
"Factbox: Trump on Twitter (July 26) - U.S. Military, Transgender individuals",real
 Carrier Workers BLAST Trump: ‘He Lied His Ass Off’,fake
Decision on whether Trump adviser Bannon keeps his job is imminent: Axios,real
Ex-ally of Malaysian PM Najib held in graft probe: source,real
 Racists’ Heads Will Explode When They Find Out White-On-White Crime Is Higher,fake
BREAKING: RUSSIA SMELLS OBAMA’S FOREIGN POLICY WEAKNESS AND MAKES A MOVE,fake
ANTI-GUN Zealot KATIE COURIC Hit With $12 MILLION Defamation Lawsuit By 2nd Amendment Group [VIDEO],fake
BREAKING: MYSTERIOUS METAL OBJECT Flings Out Of Hillary’s Pant Leg During Apparent Convulsion Or Seizure [Video],fake
"Militants attack Egypt police, dozens killed: sources",real
Security tight as Germany marks anniversary of Christmas market attack,real
EU's Tusk appealed to Rajoy to avoid escalation in Catalonia,real
Trump campaign star Conway named as his presidential counselor,real
Factbox: Countdown to Brexit breakthrough?,real
"Sanders rejects deal on Puerto Rico, offers alternative",real
BREAKING: CLINTON CLEARED…Was This A Coordinated Last Minute Trick To Energize Hillary’s Base?,fake
Puerto Rico either gets legislative fix or humanitarian aid: Congressman,real
Southeast Asia summit draft statement skips over Rohingya crisis,real
"U.S. will change course on climate policy, says former EPA transition head",real
Trump could pull out of global climate accord in a year: lawyers,real
"Islamic State claims responsibility for blast in Afghan capital, Kabul",real
Pennsylvania $2 bln budget gap is 'time bomb': governor,real
Libyans dig for water in latest test for capital's residents,real
Zimbabwe minister Moyo's Twitter account hacked: family member,real
 Cowardly GOP Rep. Files Police Complaint Against SENIORS Because He’s TERRIFIED Of Dissent,fake
 WATCH: Chuck Todd Reveals More Evidence Trump’s Campaign Is A Money Making Scheme,fake
"Mueller says Trump Jr, Manafort can testify publicly in Senate: Feinstein",real
 Why This Attorney General Is Going After Trump For ‘Fraud’,fake
Factbox: Belgian procedures for executing a European arrest warrant,real
Trump says he believes Pakistan starting to respect U.S. again,real
"Trump speaking by phone with Israel's Netanyahu, Jordan king, Abbas: White House",real
Kenya's Odinga pulled out of election to avoid defeat: deputy president,real
"Unlike Trump, Americans want strong environmental regulator - Reuters/Ipsos",real
"Iran, EU and Russia defend nuclear deal after Trump threat",real
Three U.S. senators ask Mylan for EpiPen military reimbursements,real
Republicans seek special counsel's removal from Russia probe,real
Sweden seeks to buy $1 billion U.S. Patriot air defense missile system,real
Argentina judge says death of prosecutor Nisman was murder,real
China urges all sides to find political settlement to war in Syria,real
"Four killed, 11 injured as train collides with army truck in Finland",real
Students sent home from Indonesian Islamic school linked to child fighters,real
Factbox: Five facts about ex-Trump security aide Michael Flynn,real
National Party leads in New Zealand polls; New Zealand First still likely kingmaker,real
"Hoyer, asked on German finmin post, says 'extremely happy' at EIB",real
No deal on tax among German coalition parties: conservative politician,real
U.S. House panel to begin hearings on tax reform next week,real
" Christie Goes Ballistic On Cruz For ‘Awful, Selfish Speech’",fake
U.S. ready to confront Beijing on South China Sea: admiral,real
Gunmen kill 13 Niger gendarmes in attack near Mali border,real
Jordan border crossing with Iraq to reopen in major boost to ties,real
White House does not rule out Sessions recusal on Russia probes,real
Iraqi-backed Yazidi group takes over Sinjar after Kurdish pullout: residents,real
Ex-Trump adviser Flynn talking to Congress about testifying in Russia probe: lawyer,real
"Obama aides slam Trump over claim about past presidents, fallen soldiers",real
MUSLIM ASSIMILATION UPDATE: Migrants Arrested For STONING Transgender Women In GERMANY,fake
Republican Sandoval withdraws as possible Supreme Court pick,real
"Trump foreign policies could hurt, help his business empire",real
"Trump signs Russia sanctions bill, Moscow calls it 'trade war'",real
 Trump Is Now Threatening A Lawsuit Over Copyright Violation Of His Penis (IMAGE),fake
Trump dictated misleading statement on son's meeting with Russian: Washington Post,real
Thousands of Indonesians join anti-Myanmar rally in Jakarta,real
Trump to meet with airline CEOs on Thursday: White House,real
Uzbek president says economic data was 'fiction' for years,real
 Anthony Bourdain Reveals The ‘ONE Good Thing’ About Trump And It’s HILARIOUS,fake
Beijing kindergartens get permanent inspectors after abuse scandal: Xinhua,real
McCain calls on Trump to help Ukraine against Russia attack,real
"Danish PM's party dealt blow at local election, Social Democrats gain",real
Senate healthcare holdout Collins never got call from Trump,real
German ban on Islamist group True Religion confirmed as complaints dropped,real
Tillerson set to meet Trudeau for North Korea crisis talks: source,real
"Trump team wants more NAFTA access for U.S. goods, services: lawmakers",real
Exclusive: Republicans mostly blame Congress for healthcare reform failure - Reuters/Ipsos poll,real
Catalonia refuses to send weekly accounts to Madrid before referendum,real
Republican Senator Cruz pushes 15-20 percent corporate tax rate,real
Taiwan says its 23 million people will decide their future,real
U.S. Congress votes to apply Magnitsky human rights act globally,real
Taking a tough stance on summer: conservatives in U.S. House,real
Iran's Larijani says Tehran has a plan if U.S. withdraws from nuclear pact: Ifax,real
Factbox: U.N. sanctions on North Korea currently in force,real
Turkey arrests four people over explosion at Tupras refinery: Anadolu,real
U.S. Senate's Reid warns against postponing spending decisions,real
Israel frees three Turks arrested amid Jerusalem unrest,real
U.S. lawmakers propose making it easier to meet auto fuel rules,real
Senator McCain wants hearing on possible F-16 sale to Pakistan,real
Guatemala Congress says it will withdraw contested graft reforms,real
"U.N. says fighting stops in Sanaa, Saleh funeral expected",real
U.S. nuclear arsenal to cost $1.2 trillion over next 30 years: CBO,real
Young blacks more open to Bernie Sanders' White House bid,real
Wife of Chechen accused of Putin assassination plot shot dead near Kiev,real
U.S. suspends fast processing of high-tech visa applications,real
Highlights: The Trump presidency on March 20 at 9:20 P.M. EDT,real
Trump says still wants to drop U.S. corporate tax rate to 15 percent,real
WAS MURDERED 27 YEAR OLD DEMOCRAT Operative About To Blow The Whistle On VOTER FRAUD When He Was Shot In The Back? [VIDEO],fake
Syrian opposition chief says Sochi does not serve political process,real
"Obama hits campaign trail, says ready to 'pass baton' to Clinton",real
Kremlin says Putin-Trump meeting possible before July,real
"Exclusive: Energy, not tech or finance, in CEO line-up for Trump's China visit",real
"Chile left-wing candidates could form alliance, threatening market rally",real
"U.S. mulls South Sudan pressure, cutting aid may not work: U.N. envoy",real
Kremlin calls North Korea's latest missile launch another 'provocation',real
May will allow Brexit delay in exceptional circumstances,real
Kuwait's ruler reappoints PM: state news agency,real
Brazil seeks to revoke asylum of Italian ex-guerrilla convicted of murder,real
Republican Senator McCain will return Tuesday for healthcare vote,real
BARACK OBAMA GOES THERE…Compares President Trump To Hitler In Front Of Chicago Audience,fake
Britain aiming for outline Brexit transition deal by first quarter of 2018: Davis,real
EPA chief says ready to further relax fuel standards due to hurricanes,real
"Pence, Jordan's Abdullah discuss Islamic State, Syria, U.S. embassy in Israel: White House",real
"Washington braces for anti-Trump protests, New Yorkers march",real
Catalonia finds no friends among EU leaders,real
Battle lines drawn for South Africa's ANC on eve of leadership vote,real
Trump: U.S. has 'no choice' but to deal with North Korea arms challenge,real
CAN HILLARY LIE HER WAY OUT OF THIS ONE? PHYSICIAN Says Hillary Has Parkinson’s Disease…Hillary Admits She Couldn’t Even “Get Up” After Convention,fake
Turkey chides Arabs for 'weak' reaction ahead of Jerusalem summit,real
"Take cover, avoid bomb flash. Guam issues nuclear guidelines",real
Russia sanctions bill remains stalled in U.S. Congress,real
Saudi cleric suspended over 'quarter-brain' women drivers quip,real
 GOP Voters Declare #NeverTrump & #RepublicansForHillary As Donald Is Named The Nominee (TWEETS),fake
UAE diplomat summoned by Turkish ministry over Ottoman tweet,real
Judge blocks latest Trump curbs on people entering United States,real
Co-leader of Germany's far-right AfD to quit in major blow,real
Departing U.S. trade chief warns against withdrawing from TPP,real
"Stung by reputation, Taiwan looks to turn corner on money laundering",real
Dutchman put on trial for Ethiopian war crimes in 1970s,real
Senate set for pivotal vote on Supreme Court nominee,real
Cuba holds municipal elections on road to Castro era’s end,real
DEMOCRATS ARE AFRAID That Trump Will Beat Hillary…And Here’s The Proof [VIDEO],fake
Saudi foreign minister says Iran main sponsor of global terror,real
U.S. ends program for Central American minors fleeing violence,real
Trump son-in-law Kushner hires prominent trial lawyer: NYT,real
Exclusive: U.S. asks Israel to restrain response to Jerusalem move - document,real
HILLARY CHEATED! Who Really Fed Hillary The Answers To Her Questions At Veteran’s Forum?,fake
Tunisia PM will go ahead with painful policy despite opposition,real
Russian military: Syria government troops control 85 percent of Syria - agencies,real
Austrian far-right leader says has ruled out Brexit-style vote,real
Merkel meets Trump in clash of style and substance,real
U.S. House Judiciary Democrats ask FBI to investigate Sessions,real
 WATCH: Sean Spicer In December STRONGLY Opposed Exactly What He Did Today,fake
GOP HOUSE LEADERSHIP Place Political Careers Before National Security: Why They Are Reportedly Caving (Again) To Democrats,fake
Australia to tighten airport security further after foiled attack,real
DEVASTATING 30 SECOND Commercial Shows Scary Truth About TARGET’S Dangerous Open Door Bathroom Policy [VIDEO],fake
Supreme Court's Gorsuch criticized over Trump hotel speech,real
Israeli minister reveals covert contacts with Saudi Arabia,real
Obama says EU and U.S. must move forward with TTIP,real
Ukraine's Tymoshenko expects fair U.S. ruling after Manafort indicted,real
Senate Democrats question if they can trust EXIM Bank nominee to support its mission,real
Haiti's ex-prime minister banned from travel amid corruption probe,real
Trump Muslim comments do not tarnish view of U.S. freedoms abroad: ambassador,real
JUDGE JEANINE HAMMERS OBAMA: “There’s a hero in Washington and you need to let him do his job!” [Video],fake
New Zealand's populist Peters garners attention as kingmaker in heated election debate,real
Suitcase of sapphires and other gems worth 1 million pounds stolen from London train,real
Pyongyang shown no interest in talks: State Department,real
" The PGA Just Gave Donald Trump A Big Middle Finger, And He’s P*ssed",fake
"U.S., Nigerien troops killed in ambush on patrol in Niger",real
Tillerson to visit Turkey as Raqqa operation heats up,real
Hawaii issues first challenge to Trump's new travel ban,real
Obama says urges a wait-and-see approach on Trump proposals,real
Trump says Supreme Court decision on travel ban 'a clear victory',real
Trump Jr. emails suggest he welcomed Russian help against Clinton,real
Ex-U.S. consumer bureau head Cordray set to run for Ohio governor,real
 Conservative Dream Come True: Judge Grants Rapist Joint Custody Of Victim’s Child,fake
Illinois House Democrats advance FY 2017 budget amid veto threat,real
Trump says Russia hurting U.S. efforts on North Korea nuclear issue,real
ALL HELL IS ABOUT TO BREAK LOOSE Between European Vigilante Group “Soldiers Of Odin” And ISIS Inspired “Soldiers Of Allah”,fake
British lawmakers defeat May's government on Brexit law,real
Saudi-led air strikes support Yemen's Saleh as he shifts against Houthis,real
Norway to appoint first woman foreign minister: reports,real
Economic espionage a 'tremendous problem': U.S. attorney general,real
"Divided on Trump, EU insists on European unity",real
"Russia, U.S. stalemate over Syria chemical weapons inquiry",real
KARMA! BIRTHDAY BOY BILL CLINTON HECKLED BY KIDS ON THE GOLF COURSE,fake
Trump Jr. to testify privately to Senate committee on Thursday,real
Tennessee governor endorses Rubio in Republican presidential bid,real
NBA THREATENS NC…Let Men Share Bathrooms With Your Daughters Or We’ll Cancel All-Star Game,fake
China's Xi tells Trump stronger ties good for stability: Xinhua,real
"Trump, advisers craft more orderly response to North Korea after latest test",real
Campaign chief to oversee Trump U.S. vice presidential search,real
U.S. conducts missile defense test off Hawaii coast,real
Franco-German fighter jet project likely to be opened to other countries,real
 ‘Drain The Swamp’ Trump Is Now Doing White House Ads For Corporate America (VIDEO),fake
"Prior to his SEC nomination, Clayton communicated with SEC contractor",real
Britain to limit acid sales after steep rise in assaults,real
U.S. sees 'too many' troubling statements from Philippines' Duterte,real
