text,emotion,transformed_text
i feel resentful of him trying to control what i do but i also don t want to do anything rash,anger,
im feeling rather impatient with these rainbows bursting in my veins,anger,
i am feeling shaky and tired i feel like i do when i go on a long run without eating and come home and just really wanting a banana or some gatorade,fear,
i feel isolated as though i am observing,sadness,
i made an appointment with a friend to drink coffee togehter however,anger,
i feel angry because i have led myself to leading people to believe i couldnt do this,anger,
i remember consistently feeling dissatisfied with my progress,anger,
i know she shes the only one who provides income to my family right now but it feels like shes putting it up in our face that shes supporting us,joy,
i feel that way about popular culture,joy,
i was i might be buying stuff from there but i feel the clothes are too casual,joy,
i feel helpless,fear,
i do not feel unhappy miserable wretched glum gloomy forelorn or heartbroken,sadness,
i must add the crowd was similar to last night except it had a much more laid back stoner feel with supporting cast of parents escaped from their kids,love,
i wonder how it feels to have angered and disappointed millions of people in one morning,anger,
i might feel offended at times from hearing statements where that i strongly disagree,anger,
i didnt want to stay in this feeling of loneliness the emptiness of my prayers blank requests to a paper deity,sadness,
i feel more vulnerable and more in touch with my heart with making choices that are better for myself and my family and less worried about pleasing everyone else,fear,
i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,fear,
i came home still feeling pretty rotten,sadness,
i get that sick feeling like the one you get when you hear that someone passed away and youre shocked and lightheaded and i realize hes really gone forever,surprise,i get that sick feeling like the one you start out when you learn that someone passed away and youre appal and lightheaded and iodin make hes really depart forever
i know im quite selfish but sometimes i feel like i dont want to throw everything just for something that is uncertain,fear,
i feel a longing for i have no idea what if it was ever even there,love,
ive worked really hard all year to try to make each child in the class feel like they are valued,joy,
i feel like this is something i can do well and its helped me out of tough spots before,joy,
i sit in the middle of the most stinking the most crowded the noisiest railway platform or fish market and start reading it i will still feel as if im in the most pleasant place ever,joy,
i was constantly amazed by the world building maybe because it came hand in hand with the gripping pace in the books i feel like there are your sections devoted to character your sections devoted to world building and specific small sections devoted to plot,love,
i love reading your comments so please feel free to leave them,joy,
i feel so impressed by a dental work in front of me as well as a cost which we am deliberation suicide,surprise,i feel sol impressed by a dental work in front of Maine as comfortably as a be which we am deliberation suicide
i can feel the pressure falling more so on my shoulders and im feeling slightly doubtful of myself which leads to unhappy thoughts not usually like my optimistic self i must say,fear,
i always feel a little shy in those situations and then nervous that my shyness is making me seem aloof,fear,
i was feeling a little like a cold was coming on,anger,
i feel as if i should be punished for neglecting you,sadness,
i do feel something of an aversion to it within maybe because i still feel like its a vain thing or that i may be seeking some sort of outer affirmations from others who might stumble upon it ive mentioned this before but the truth is who cares about all that,sadness,
when i nearly caused a traffic accident with my car,fear,
i dont feel the need to be truthful its completely written all over me,joy,
i continued to feel this way for the next couple weeks until i convinced myself i should just take a pregnancy test to be sure,joy,
i feel like im the one to be blamed for all things,sadness,
i have been learning and re learning the lesson that no matter how i feel about myself or even how others may feel about me i am treasured by god,love,
i asked some girls what it meant to them to be valued and for the most part the response was that they felt valued when the people around them made them feel valued and treated them in a loving and caring manner,joy,
i feel like my life has been taken over by a video game and im doomed to repeat the same set of circumstances over and over again until i collect all of the special powers knowledge and treasures to finally advance me to the next level,sadness,
i feel rejected by all the men i like i gave up on asking why and what i did so they ran away,sadness,
i feel so unloved without you next to me but when im with you,sadness,
i was to worried about them knowing if i was high or not and feeling a little paranoid and i have never never been that type of person that would think and care about what people think about me and would always focus on what i had to do to get to where i needed to get in life,fear,
i almost feel funny not adding a picture at the bottom of my post like denis and dave,surprise,i almost look funny not lend a picture astatine the bottom of my post same denis and dave
i do not want others to feel unhappy just because they have to accommodate to me,sadness,
tutorial again a fearful feeling came to me when i sat on the chair and looked at my fellow students all around i was really scared that they would ask me some questions or challenge the ideas that i had presented,fear,
i was feeling optimistic and actually ran the first couple miles at probably a pace,joy,
i entered a depression feeling helpless hopeless and adrift betrayed disillusioned and wondering who i could trust,sadness,
i feel grouchy or short tempered then the guilt kicks in,anger,
i say his helpless the phone muttered the i love you love his feeling always feel very sweet always feel to have him with me i nothing a person undertaking no matter where there is a he,love,
i ended up shoeless making me feel even more vulnerable and slowing me down further,fear,
i often sat back and feel amazed when the episode was over,surprise,i often sat back and feel baffle when the episode follow over
i have been starting to feel drained,sadness,
i feel perfectly mellow,joy,
i have found this site to be a huge help to keep my in the moment when im feeling stressed or missing drinking,sadness,
i felt that connection that i need to feel in order to love a movie and as jo march once said i gave myself up to it longing for transformation,love,
i feel intimidated by these colleagues of mine,fear,
i have now synced it with my itunes and feel delighted that music will be more accessible to me no matter where i am and can once again feature heavily in my life,joy,
i really do miss the feeling of loving someone deeply and having that someone to love you back,love,
the first day i visited the hospital i was disgusted because i experienced offensive smell which i never expected i nearly ran away from the course,anger,
i buy something i go out and look at what else i didnt buy and then after a bit of comparison here and there i suddenly feel dissatisfied with my purchase,anger,
when i saw my family after a separation of one year,joy,
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,sadness,
i have been thinking on a working towards for a long time but it has become something i feel even more passionate about in this last year,love,
i feel honoured and great because through this work experience i am able to determine what i will do after graduating,joy,
im feeling very blessed amp grateful that i live in the united states of america with the freedoms we enjoy amp the opportunity to vote tomorrow for our next president,love,
i can process everything properly but im feeling more positive and able to resume training,joy,
i feel and the longing i feel for is the connections i already have but have not been brave enough to complete my friendships,love,
i feel smart yet comfortable in it i feel good when i wear it,joy,
i feel so sympathetic embarrassed for betty here that it s tough to watch,love,
i feel that someone is trying to pry out of my hands something that is very precious to me,joy,
im not going to lie it feels really weird to be writing this right now,surprise,im non rifle to consist it feels really weird to be writing this right nowadays
i just feel so wronged and sad that i cant even have the space i want,anger,
i feel beaten by it,sadness,
i woke up feeling amazed and then i realized that a dream is still a dream,surprise,i woke up feeling stupefy and then i realized that a dreaming equal still ampere dream
i am not feeling horny im just letting baba see the emote,love,
i cant feel complacent,joy,
i was feeling restless,fear,
i go to bed feeling very distraught otherwise,fear,
im excited and i feel like this is a project that i can be passionate about and totally immerse myself in,love,
occured while preparing for a midterm in social welfare that i thought was going to be very hard and felt unprepared for,fear,
i feel more irritated than peaceful,anger,
i feel loyal to the one im with now,love,
i do my best at making sure my husband feels loved important and cared for with my whole heart,love,
i feel embarrassed that im doing it because i think people like me insert liberal amount of negative self talk about weight dont do things like this,sadness,
i can feel the awkwardness whenever i do something that was acceptable before but no longer is,joy,
i am frankly surprised that you consider the minds of the quorum members weak and susceptible to doubt and furthermore im surprised that you feel that their faith in the church could be shaken by the letter i posted on my blog,fear,
i got s and really i feel like i hit the lottery i was scared itd be something like x and id be screwed,fear,
i feel increasingly fond of coppers,love,
i used to walk over to my neighbors and hang out with him while he worked in his shop but i kinda got the feeling i was unwelcome,sadness,
im also feeling cranky about it because the main characters scientist brother observing the moon mentions that there is zero gravity there,anger,
im feeling particularly dangerous a chocolate cookie,anger,
i still have a lot of my normal symptoms sore boobs constant peeing irritability and irrational feelings a superior sniffer and gag reflex etc,joy,
i feel this strange sense of importance of life and the world when i stare at the stars all night,fear,
i just stayed there letting myself feel a little melancholy,sadness,
i would still feel weird,fear,
i feel out of generous love people have focused too much on my story and i don t want to perpetuate that dynamic there are some other educators who are going through the same,love,
i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic,joy,
i visit m ller in my country and go to the expensive make up stands the sales assistants are always standing right next to me and looking at me like im going to steal something so i feel really uncomfortable shopping there,fear,
i feel passionate about and dating is,love,
i normally would want to eat this when i feel the world is dull,sadness,
i have the right to feel jealous naman to think na theres no us to begin with,anger,
i have written i don t know why this would make me feel shy,fear,
im feeling a bit out of my depth with my colouring skills amongst all this talent though so please be gentle with me,love,
i always feel awkward,sadness,
i do my best to remain cordial and express what is authentic the real love and gratitude i feel for a devoted father and the nostalgia i feel towards someone i had selected as a life partner as exemplified by an unforgettable blowout wedding at the a href http www,love,
i is feeling insulted because everyone is comparing sneha with her,anger,
i am going to be happy today i am going to enjoy feeling excited about life joyful eager knowing and empowered,joy,
i believe in you moment we all feel til then it s one more skeptical song,fear,
i wake too early so i feel grumpy,anger,
i write what i feel if you get annoyed and sick of this simply close the tab,anger,
i took part in a football match the referee was extremely partial to the opposite team this stirred up my discontent and anger,anger,
ive been feeling delicate this week,love,
i was feeling even less splendid and had nothing that needed to be done all day so i decided to baby myself,joy,
im feeling rotten and pretending it just aint so,sadness,
i visit cantina i leave feeling that the food is lovely but not always worth the price,love,
i need to know that the pain i feel is not in vain and that there is a better and brighter day in my future,sadness,
i feel the language of the warning is pretty benign but i am open to your suggestions on how to improve it,joy,
i feel appalled right now,anger,
i came away feeling that i should have felt unfortunate or cheated,sadness,
i do know how i feel but id like to hear an intelligent explanation to then see where i stand,joy,
i feel like i am meant to partner up be supportive lend a hand or a heart and yet i resent this feeling,love,
i never thought i could feel thankful for such an awful thing but i am for making me stronger even as my husband gets weaker,joy,
im feeling a little shaky because im going to give a speech at jens retirement lunch shortly and i dont want to cry,fear,
i feel like damaged goods no one will want me now,sadness,
i am feeling grumpy i put this on,anger,
i would rather take my chances on keeping my heart and getting it broken again and again then to stop feeling to stop caring to be bitter cross cynical,love,
i just love the colors and the way the yarns feel i also love supporting small businesses and it allows me to provide quality products in my own shop,joy,
i feel youre faithful over me as i sing amp worship you i find no words to describe you,love,
i lay here still awake i find myself feeling unhappy,sadness,
i feel sympathetic towards companies that have done business for a century or two suddenly facing an entirely different situation,love,
i feel grumpy i m going to dig out my xl mens pajama s grab a bar of chocolate put my favorite chick flick in the dvd player and treat myself not like a failure of some kind but like a person who is feeling grumpy who maybe just needs some time to herself,anger,
i feel like i ve been neglecting my beloved mom blog,joy,
i feel like they have been more than generous and completely understand that things change i mean days off unpaid,love,
i feel reassured and comforted that i will be seeing my oncologist every three months and my surgeon every six months,joy,
i waited in line longer than usual i didnt feel impatient that my business was delayed i listened to the master about why this was occurring and how i could be of service during that moment,anger,
i cried like an effing baby for half the day and just sat in bed again so depressed stressing over the decisions i make and everything is oh so focused on me i feel when really i cant be blamed for this,sadness,
i feel that it is not user friendly,joy,
i should stop reading sids blogs but it is part of my blogging community and i feel that in supporting each other we get better at handling grief and hence i am not going to stop,love,
i am glad that the exhibition closed during spring though as its a time of new leaves and colour and that makes me feel more hopeful,joy,
i am thinking is the fact because xanax slows your system down it allows you to feel very relaxed but also it might leave you with a not enough energy and motivation,joy,
i really wanted to like this one and whilst a couple of performances and the setting made this worth seeing it is developed in a way which is pedestrian at best and critically flawed when i feel less generous,love,
i had been feeling suspicious all day,fear,
i can t believe i feel so petrified,fear,
i feel so fond of him i want to squeeze him tightly and not unusually,love,
im feeling less grumpy after that,anger,
i have no energy to get angry or upset anymore i just feel a little resigned,sadness,
i didnt feel threatened at all by the people like i would have for the first minutes walking in indonesia,fear,
this happened when i could not get into the school i had initially wanted,anger,
i think it is the worst feeling it gives me the shivers and just thinking about it makes my teeth feel strange,surprise,unity guess IT exist the worst feeling it gives me the shivers and just thinking about it stimulate my teeth feel foreign
i feel and im irritated by it,anger,
im feeling very optimistic about it and find myself wanting to ride more and more,joy,
i could set all these discouraging feelings free,joy,
i then wonder if the girl does want to marry me and contemplate that feeling slightly disheartened,sadness,
i dont know why for some reason i feel really pissed off by this person ive supported for years,anger,
i feel just as determined as ever if not more,joy,
i have a feeling my view isnt going to be very popular and thats fine,joy,
ive found my interest in s u waning and ive even come away from some portrayals of their relationship feeling dissatisfied,anger,
i feel so idiotic for letting you and myself call us best friends,sadness,
i feeling a little tender and uncomfortable but the needle marks on my bum are worse,love,
im feeling hot already after tackling the front hedge,love,
i also feel like i have been keeping myself intentionally stupid behind slow in the past ive known that keeping up with gaga would require getting up to light speed which transforms you into an artist and im ready to do that now an hold nothing back,sadness,
im definately feeling the change but im refusing to feel impatient about it,anger,
i also have to attire my regular moisturizer and an oil based primer below it yet with all those points along my skin color feels and looks tender and great all time of day something thats normally not attainable to me,love,
i feel so grounded delighted in a good mood and filled with a positive energy,joy,
i wear this story as a protection from feeling the vulnerability of merely loving and depending on another human,love,
i feel empty inside all the time,sadness,
i am a bit out of my comfort zone too and im feeling a tad apprehensive,fear,
im not sure why at i still feel as if i need to be socially accepted,joy,
i kind of like the feeling that i am longing aching for spring,love,
i also hate feeling aggravated when i dont know how i am supposed to eat because when i feel that way i often sound that way,anger,
i always feel terrible afterwards and even more helpless which is yet another thing perpetuating my depression,sadness,
i had a hard time focusing on my life and walked around feeling dazed and confused,surprise,i had axerophthol hard time focusing along my sprightliness and walked some feeling dazed and confused
i feel extremely passionate about this topic because that person used to be me,love,
i have arrived home feeling some remorse and a bit troubled,sadness,
i can usually tell if someone is being honest i can feel if they are sincere and if they are just teasing,joy,
i feel dull and easily all of the difference of the rule absolutely no i just can t several it so this in turn quick easy casserole is fantastic relating to group meals local hall pitch ins picnics address luncheons etc,sadness,
i feel that sweet potatoes are very under rated,love,
i spent a few days feeling defeated and wondering how much better i can expect myself to get,sadness,
i can t say i feel all that sympathetic,love,
i was feeling irritated with the supposed guy who wasting my valuable time talking to a lady,anger,
i also feel unsure when asked to remember some of the computer science concepts such as algorithmic efficiency that i studied at university,fear,
i feel so incredibly hopeless about losing weight,sadness,
i am fascinated with the structure and function of the brain its so incredible that everything we think and feel all our memories and emotions are created and stored in this strange convoluted structure,fear,
i just feel like supporting them,joy,
i apply it i walk very fast around the room because the rush of air against the essence on my lips feels very cool,joy,
i feel ashamed when i log out and leave these problems behind,sadness,
i have been becoming i definitely want to include in my revamped definition of strength my impulse to nurture my sense of resonating to the feelings of others like a sympathetic string the way i ve been able to let go into life as an emotional being,love,
i can never tell him how i feel and it really sucks because i think he gets really bothered by that,anger,
i feel about the plight of these dogs so its lovely to find a turkish vet who really cares,love,
i still feel like the debate was vicious on both sides,anger,
i can feel your heartbeat with each desire longing to be core to core centered and totally together,love,
i am feeling irate,anger,
i did feel a little lighter in spirit now that i knew that neither he nor warrick despised me for my incredible naivety and stupidity,anger,
i started feeling doubtful so i just sat in my seat disappointed,fear,
i am no longer red it feels weird,fear,
i feel like a cold object with no identity,anger,
i feel like i want to be very very rebellious until they regret of what they have done to their single daughter,anger,
i was terrified that the revelation of my feelings would drive him away though he reassured me it wouldn t,joy,
i was yelling to the group in front and not getting an answer and getting increasingly concerned and feeling increasingly frustrated with those lagging behind despite repeated explanations and pleas from me regarding the need to catch up with the advance group,anger,
i thought breaking up with my best friend of years would make me bitter and feel hateful towards her,anger,
i believe the most readers feel impressed by the individual journey,surprise,i trust the most readers feel impressed by the individual journeying
i feel like in a way i kinda shocked my body by changing my calorie intake,surprise,atomic number 53 feel like in axerophthol room ace kinda shocked my body by changing my calorie intake
i may be smitten or shy and i might even bat my eyelashes a few times and smile because i just cant help but feel charmed by you,joy,
i feel uptight is it any wonder i dont know whats right,fear,
i feel like i can breath now and not be so rushed,anger,
i know many of my readers are also non make up wearers and i know we sometimes feel a longing to at least do something to touch ourselves up,love,
i can t help but feel really nostalgic of the disney levels,love,
i was impressed with how dunham portrayed hannahs whole experience from trying to deny that its happening to feeling offended when you feel like someone is trying to minimise the distress its causing you,anger,
i feel very honoured to be part of our fabulous team,joy,
i feel tat all of us in this world are clever just depending on how u are born if u are born to be errrr not good but it will still would have some good things that u have it just that u dun realise it lol i noe its quite lame hope no one have read it img src http shared,joy,
i can feel the presence of my beloved behind me and i tilt my neck to the side smiling at the feel of his lips against my shoulder,love,
i was feeling a bit lonely because poor henrietta had been in the shop for so long and ariel was right in chelmsford waiting for me,sadness,
i guess no matter how much i think im feeling ok im as nervous as hell on the inside about the scan revealing something i dont want to know again,joy,
i used to have this friend who always always had to have a boyfriend and if she didnt she would get majorly depressed and feel defective or something and i think she was that way because of her mom and i always felt really bad for her,sadness,
i could feel the depth and richness of the hot pot starting to develop but every small event took me away from gathering the heat to speed along the process,love,
i remember feeling loved and beautiful and special and sweaty to be honest,love,
i feel like this vile thing brooding gnawing deeper in spirit,anger,
i know they mean no harm but i cant help but feel offended,anger,
i feel so helpless but so well protected,fear,
i feel like i am single handedly supporting the cupcake industry,love,
i feel so empty while i m turning your corpse inside out like something broken never actually alive but now you re ended one more for my collection,sadness,
i open my eyes wide and i feel the last bubble of precious air escape from my lips then everything goes black,joy,
im feeling optimistic about this third year confident for the first time in my abilities as a business owner and teacher,joy,
i could feel hundreds of loving people all around the world connecting with earth it was simply beautiful,love,
i think about the woman in the congregation who cried as she spoke about the family trying to find a church where her homosexual daughter would feel accepted,love,
i dont see how we can move beyond it but then rarely do i feel this uncertain about things,fear,
im feeling it would be obnoxious,anger,
i really started to feel that the ica was an association worth supporting and maybe something that id enjoy being a part of,love,
i think like all australians i know the image so well it will be interesting to see how i feel when were there and yes lovely kay we are going to view it at sunrise,love,
ive been meeting up many people since this semester but tonight at cinderalla i couldnt help but feeling sorrowful and down,sadness,
i met you i used to want to lock myself into a vault just to feel precious,joy,
i listen to the hurricane rain outside the window i feel a little melancholy,sadness,
i have some pretty brazen goals and each day i feel stronger and more confident that i m going to reach my desired end result,joy,
i don t know i feel confused,fear,
im hurting because i feel like my friends are no longer supporting me just because im struggling,love,
i still feel good about the fact that im smaller than her now but thats not the drive that got me here,joy,
i just really feel so curious about whether you and dad have ever been bitten,surprise,iodin just real feel so curious about whether you and dad bear ever been bitten
i feel like it skews the kids idea of what is cute and adorable and just encourages annoying behaviors,joy,
i am feeling eager to start doing some work the man who works there literally says so uhm you guys want to go in back and see if we can find anything to do,joy,
i feel tortured because i am not allowed to enjoy food the way my friend can,anger,
i listen to it i feel all rebellious,anger,
im feeling so doubtful today,fear,
i wonder does anyone ever feel particularly inspired or moved watching question time these days,joy,
i feel so remorseful for doing this to him,sadness,
i think and it feels a little weird,fear,
i was feeling a little annoyed at some people,anger,
i feel that i am too distracted to do well on my weight managment,anger,
i feel as if he was getting beaten to areas of the ice a defenseman shouldn t,sadness,
i like this so much but i feel like somehow this will be a term that becomes more popular in the future,joy,
i fully believe and feel passionate about living bravely and outside my comfort zone i often revert to my comfortable ways,love,
ive learned that there are angels on earth who feel me as i feel them who stand by with a loving thought a healing heart or a steady hand just as i would also offer without a moments hesitation in return always,love,
i have a feeling that alot of people think and feel this way and im sure its just apart of growing up,joy,
i really wish i had more time to explore twitter as i feel like i lost a lot of time learning how to use the site,sadness,
ive been feeling a bit disheartened blog wise recently,sadness,
i feel excited just imagining it,joy,
i don t really feel like doing much but maybe something gentle,love,
i pray the rosary i feel a sense of calm upon me,joy,
im feeling wimpy about this i know a one year old who has been sent to the old country for a year so the parents can work,fear,
i felt a little bit of cramping and the same feelings i had been feeling for weeks so was not bothered by it,anger,
i feel like i am a selfish person,anger,
i always feel like im the least liked,love,
i feel that the session was useful and gave me tools i need to move forward in my life,joy,
i disagree with my parents on many issues and will sometimes let them know my feelings in unkind ways,anger,
i feel rejected by someone i love and this has caused me great heartache and pain,sadness,
i have a wonderful mother in law who has in every way has been like a mother to me for years more often than not i end up feeling a bit melancholy on mother s day,sadness,
i see food weight gain and feeling punished rather than why i have this need to be in control at all times you know those pesky underlying issues,sadness,
i went outside to shut in the hens then was tempted by the brilliance of the stars to walk across the frozen fields feeling very cold looking up into the sky,anger,
i was flattered and i liked the feeling of being liked and possibly loved,love,
i have a feeling that my plant may have been temperature shocked,surprise,i have a smell that my plant May have been temperature appal
i was thinking about going out to dinner but im feeling like i might not be bothered too,anger,
i do love the idea of having slave brothers but not at expense that i feel ignored lonely and frustrated and so depressed,sadness,
im currently getting out a bit from reality exams amp works and feeling glad ever since theres only more subjects left,joy,
ive seen how mean other kids and adults can be to a child who doesnt fit into the norm and no way was i going to label him so he could be made to feel he was anything other than amazing,surprise,
i can look back at it and feel satisfied that i saved all those cultures from a terrible fate and that my time spent in the job was not in vain because the results of my efforts will benefit students for decades to come,joy,
i wasnt feeling it and i didnt want to fake it,sadness,
i want to tell him how i feel how disgusted i am that he can hurt my husband the way he does and then just laugh about it how he treats his grandchildren how he treated my husbands mum and just scream at him to stop being such a selfish bastard because the world does not revolve around him,anger,
i do when i m feeling a bit weird to reground myself,surprise,ane do when i m feeling a bit Wyrd to reground myself
i began to feel isolated frustrated and of low esteem,sadness,
i can feel what hes feeling but not quite because this is his own beloved brother,joy,
i feel honored to wear usa on my back,joy,
i figured my parents wont make me feel accepted so i stopped trying i turned to romantic relationships with men,love,
i am feeling uncertain of the merits of posting to this blog with the frequency or earnestness i had been over the previous year,fear,
i love loving people and when i get the opportunity to really show how i feel i m going to do it no matter how stupid it sounds,sadness,
i wonder how they would feel if someone was screaming at them and then saying horribly rude things behind their back later,anger,
i feel so doubtful about myself ever since i took this job,fear,
im feeling insecure and sad because i dont know what to do with my book,fear,
i can walk down another street and stop feeling helpless and hopeless,fear,
i feel hot irritated and tired,love,
i am sitting at the computer feeling melancholy and a little overwhelmed torn as to what to write home in this my final e mail,sadness,
i love the discussions in the class and feel passionate about feminist issues but when i go to write it down it feels as though i am faking it,love,
i feel damn lame hahahahahha,sadness,
i cant totally defend her the woman wanted to be famous and nobody around her seems to be able to tell her how to handle fame britney leave los angeles when you can for starters but i am starting to feel a lot more sympathetic toward her,love,
i also feel a longing for my country and as i remember my childhood around the gunong ledang mountain i have started a series called puteri gunong ledang evoking all the legends and memories of jungle fairies that still live in my mind,love,
i feel is glamorous will be shared there,joy,
i do not feel i am particularly talented at it,joy,
i went around the rest of the night feeling dumb for showing this blind woman a photo,sadness,
i will sit there for a month while rich and carol go home for christmas by the way they did not put any lights on me this year i am not feeling very festive right now,joy,
i want all of my feelings rage and terror and longing to wash over me and fill me as the alternative is the dull anxiety of every day living,love,
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,anger,
i wasn t feeling insulted over its idiocy i felt supremely bored and actually wound up fastforwarding through a few scenes,anger,
i was up early today to vote before the lines got too long and i didnt have that feeling at all but i was uncomfortable for another reason,fear,
i feel so stressed out with family problems,sadness,
i think of these folks when i am feeling miserable for having to acknowledge i must actually do something to make the world a better place,sadness,
i feel at least dating them would not be in vain,sadness,
im still feeling a little hesitant but plunging in with a multitude of colored pencils nonetheless,fear,
im feeling frantic because ive had no sleep,fear,
i am much lighter now i feel extremely passionate about myself and my life yes me i do,love,
i can t help but feel a little hesitant towards lily,fear,
i have loved not feeling rushed here,anger,
i am feeling much more relaxed,joy,
i feel like im being petty about this,anger,
i feel like i got in at that sweet spot before everyone realizes how messed up everything really is,love,
i feel like im too frickin uptight to let loose enough to love anyone else or more importantly myself,fear,
i can describe what happens to me is that i feel shaky,fear,
im excited for these new changes cause i really feel like it will help me feel like myself again in this funny blogging world,surprise,im excited for these young deepen cause i really feel like information technology will supporter Pine Tree State feel like myself again in this funny blogging worldwide
i must really be feeling brave because this thrifted outfit is a swimsuit,joy,
i cant help but feel that bioware have missed an opportunity here,sadness,
i feel that im as curious as when i was a child,surprise,i feel that im as curious as when i exist a child
ill let you in on a few more huge dieting secrets just because im feeling very festive and giving right now,joy,
i had promised her i will buy their cupcake bt im feeling shy to face her n thn miss it,fear,
i forgive myself that i have accepted and allowed myself to feel terrified when i can not move myself or speak or scream in sleep paralysis,fear,
i feel helpless to make any real difference,sadness,
i wanted to make sure i didnt feel rushed getting to century college on friday afternoon,anger,
i also feel it can be rude to see your family doctor out and about and approach them together with your ailments,anger,
i was like oh thats awesome blah but then he was like reminding me hes interested in this other girl and i was like i know this but what concerns me more is if it makes you feel too weird to be with me like this,surprise,single was like oh thats awesome blah but then he comprise like remind me he interested in this other girl and ace was like i know this just what concerns me more is if information technology create you feeling too weird to make up with me like this
i feel their taste of desserts are not sweet and suits many customers now,love,
im feeling generous again here it is in its entirety for free consumption,joy,
i are another reason why foreign tourists feel reluctant to drive in this island,fear,
i feel irritated to have missed out direct instruction from master lee is never to be passed up casually i have to admit my body just feels like it needs the rest,anger,
i feel annoyed but its because im afraid i wont be able to speak well just like them,anger,
i couldn t help but feel sympathetic for netflix as an army of the misinformed denounced netflix for the recent price hike,love,
i had the love of my life in nathan been in love and shit and here was travis and i felt hardly anything and im sitting here feeling doomed that i would never again find someone who would give me that spark,sadness,
i feel like its flying by and im afraid im going to miss something,fear,
i seek out a rejected love because i feel as though i dont deserve faithful and monogamous love,love,
i feel horrible i know this is a bad situation but please dont judge me i really feel bad and the age of consent is in texas so our relationship is legal,sadness,
i tell people it feels like i am trying to convince people i am innocent but no one believes me,joy,
i can t help feeling jealous,anger,
i feel honoured and lucky to be the one making these images her,joy,
i found myself feeling very sorry for quell as dodd deceives him for his own personal benefit,sadness,
i would always feel amazed at how impacted these and year olds were by this subject,surprise,i would always feel amazed At how affect these and year olds live by this subject
i tell the people closest to me things that i am feeling and its as if they arent surprised because theyd known it all along,surprise,
i head out feeling brave again,joy,
i have been feeling so overwhelmed lately,fear,
i feel like karen is being far too greedy pushy demanding on all fronts,anger,
i feel so heartbroken over paul walker s tragic disappearance the life of someone so generous beautiful and talented should not end this way as other horrible individuals keep on living torturing assaulting and killing people,sadness,
i am not that organised but i am feeling smug that i have at last managed to list a couple of fathers day cards in my etsy and folksy shops,joy,
i want something that gives me a major orgasm that will make me feel so horny ill screw anything that moves,love,
i can make them laugh out loud i feel a keen sense of accomplishment,joy,
i feel horny a class arialblue href chat,love,
i asked darren about it when he got home as i was feeling a bit curious even though it didnt really matter and it was really none of my business,surprise,i asked darren about information technology when he fuck off home plate as i was feeling a turn curious even though it didnt really matter and information technology represent really none of my business
i am feeling so much sadness realising that i have gone through life like this but it is such a celebration that now i no longer have to harden to hide that i am scared from myself and others,fear,
i feel that if he hadnt appeared out of nowhere and distracted me i would have noticed the light change and none of this would have happened,anger,
i are both aware i have many personal reasons to feel less than fond shall we say of your prince and i suppose it s only human of me to wish to make that point abundantly clear to him,love,
im feeling a bit greedy,anger,
i feel i might have lost the potty training train,sadness,
i always feel pressured when i play against someone,fear,
i am feeling bitchy cross whatever,anger,
i think this will help somebody out there that feels hopeless and alone,sadness,
ill just have to make some local friends i can go to the movies with and know for a fact they wont even without meaning to cause i seriously doubt there was any actual intention to hurt my feelings or actually call me heartless a moral or brainless it just came across that way to me,anger,
i feel like my heart broke telling my children she continued,sadness,
i feel that the thighs are being stubborn and not going away at the same rate as stomach arms or butt,anger,
i was feeling make it all worthwhile she has been loving on her daddy and she let him feed her breakfast she snuggled up in the chair with spencer and played with him she is walking more and she has officially been in all of her grandparents arms with a smile on her face,joy,
i feel a strange sense of legacy,surprise,i palpate a unusual sense of legacy
i started sewing more garments i feel like so many popular clothing brands are so cheaply made,joy,
i feel you know basically like a fake in the realm of science fiction,sadness,
i was feeling amazing so i was disappointed when my lab work in december came back the same way it did the previous year overall it was good but i did not have enough protein in my diet,surprise,i was opinion amazing so i embody disappointed when my lab knead Indiana december get back the same way it did the previous year boilers suit IT embody good but ace cause not have enough protein in my diet
i may finally sit down and feel sweet release only to notice i have misplaced my glasses or that the kids have found a unique place for them,joy,
im feeling good these days and my only complaints are that its getting harder and harder to move around and chase after stone and its getting harder and harder to find clothes that fit,joy,
i feel weird sharing that but this is the source of some of my greatest insecurities,surprise,iodin flavor weird sharing that only this is the source of some of my greatest insecurities
i must ask if my column makes you feel so hateful why do you keep logging on,anger,
i loved how all his pack mates bonded with her the touchy feely way they were with each other was sweet,joy,
i feel its casual and straight up,joy,
i am feeling a little apprehensive about the whole thing,fear,
i could feel the envious eyes and hatred stares of the women wising they was in my place at the moment,anger,
i feel like itd be strange at the least and possibly offensive to tell a gay friend id like to experiment or something like that,surprise,i feel the like itd be strange at the least and possibly nauseous to tell a gay friend Idaho like to experiment or something like that
i don t feel that longing,love,
i feel i m getting distracted and not real,anger,
i feel like i want to hide away amp be distracted at the same time,anger,
i feel surprised because i didnt expect it,surprise,
i also loved that you could really feel the desperation in these sequences and i especially liked the emotion between knight and squire as theyve been together in a similar fashion to batman and robin for a long time now,love,
